granularity,category,feature_set,reference,duplicate_of_A_lag1,block,point_pct,ci_lo_pct,ci_hi_pct,p_boot,ci_excludes_zero
daily,M01AB,A_lag1,Naive,False,7,-28.957376868966378,-32.03023146961469,-25.47965728873986,0.0005,True
daily,M01AB,A_lag1,S1 [linear],False,7,1.283771179085269,-0.03368403462253615,2.63287360934481,0.058,False
daily,M01AB,A_lag1,XGBoost,False,7,-2.25191712831202,-3.692125417339092,-0.8934386323378443,0.0005,True
daily,M01AB,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,7,-2.6036071774596214,-4.10847771104523,-1.1066724719065608,0.0005,True
daily,M01AB,B_rich,Naive,True,7,-28.957376868966378,-32.22828720524457,-25.51236347868078,0.0005,True
daily,M01AB,B_rich,S1 [linear],True,7,1.283771179085269,0.03321400819239485,2.6830132608179493,0.047,True
daily,M01AB,B_rich,XGBoost,True,7,-2.25191712831202,-3.700653095146643,-0.9900742465951959,0.001,True
daily,M01AB,B_rich,"LR-XGB (residual, tanpa gerbang)",True,7,-2.6036071774596214,-4.104746980503578,-1.2242368193090547,0.0005,True
daily,M01AE,A_lag1,Naive,False,7,-18.552474535900608,-24.770644155331805,-12.05197734549391,0.0005,True
daily,M01AE,A_lag1,S1 [linear],False,7,0.0,0.0,0.0,1.0,False
daily,M01AE,A_lag1,XGBoost,False,7,0.6757933800186411,-0.7870460676650162,2.156442692975038,0.379,False
daily,M01AE,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,7,0.8545798286074158,-0.6802253924731818,2.399067132036446,0.274,False
daily,M01AE,B_rich,Naive,False,7,-22.8961178649696,-27.65583940268554,-17.272665369772017,0.0005,True
daily,M01AE,B_rich,S1 [linear],False,7,-0.1971275094577729,-0.40956784280350156,0.014404739987824412,0.077,False
daily,M01AE,B_rich,XGBoost,False,7,-1.713052507691526,-3.7570663896937586,0.10233492932034281,0.069,False
daily,M01AE,B_rich,"LR-XGB (residual, tanpa gerbang)",False,7,0.7563933996758587,-1.1190536495099472,2.5918673473651137,0.507,False
daily,N02BA,A_lag1,Naive,False,7,-22.805010500171853,-27.107555510792377,-17.354293330869183,0.0005,True
daily,N02BA,A_lag1,S1 [linear],False,7,-0.22919692915299716,-0.9078964402989028,0.3945578564804715,0.477,False
daily,N02BA,A_lag1,XGBoost,False,7,-0.5953960740453734,-1.7811053694678511,0.5396402982766721,0.369,False
daily,N02BA,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,7,-0.20729884740775528,-1.184805878335664,0.7969556440733646,0.764,False
daily,N02BA,B_rich,Naive,True,7,-22.805010500171853,-27.129109524984973,-17.679017800497494,0.0005,True
daily,N02BA,B_rich,S1 [linear],True,7,-0.22919692915299716,-0.8589814632759326,0.37269767795820186,0.442,False
daily,N02BA,B_rich,XGBoost,True,7,-0.5953960740453734,-1.7694487670688435,0.5199894221332784,0.326,False
daily,N02BA,B_rich,"LR-XGB (residual, tanpa gerbang)",True,7,-0.20729884740775528,-1.2014881821724521,0.7473426347042603,0.72,False
daily,N02BE,A_lag1,Naive,False,7,-12.344268825743775,-17.72603813884726,-5.98632174019942,0.0005,True
daily,N02BE,A_lag1,S1 [linear],False,7,0.0,0.0,0.0,1.0,False
daily,N02BE,A_lag1,XGBoost,False,7,0.5226047840168002,-1.9980284540471607,3.420883305535544,0.751,False
daily,N02BE,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,7,0.800620715324829,-1.4254219459422248,3.259651198045438,0.528,False
daily,N02BE,B_rich,Naive,True,7,-12.344268825743775,-17.543809914838857,-6.292140695799318,0.0005,True
daily,N02BE,B_rich,S1 [linear],True,7,0.0,0.0,0.0,1.0,False
daily,N02BE,B_rich,XGBoost,True,7,0.5226047840168002,-2.0059545347474277,3.498856042318997,0.732,False
daily,N02BE,B_rich,"LR-XGB (residual, tanpa gerbang)",True,7,0.800620715324829,-1.4077820315061054,3.348210922163051,0.534,False
daily,N05B,A_lag1,Naive,False,7,-24.791347309427348,-27.34608530952465,-21.937381830302513,0.0005,True
daily,N05B,A_lag1,S1 [linear],False,7,0.04985499143177474,-0.23511888759337185,0.3576709443124813,0.749,False
daily,N05B,A_lag1,XGBoost,False,7,-0.5030482046190055,-2.0773042618085116,0.9213273730520923,0.483,False
daily,N05B,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,7,-1.2253850024868451,-2.70929482033616,0.16764436795434529,0.092,False
daily,N05B,B_rich,Naive,True,7,-24.791347309427348,-27.172838543870668,-21.802713729648232,0.0005,True
daily,N05B,B_rich,S1 [linear],True,7,0.04985499143177474,-0.25517723183374613,0.37249447658205626,0.748,False
daily,N05B,B_rich,XGBoost,True,7,-0.5030482046190055,-2.081012418377769,1.0080940203416178,0.489,False
daily,N05B,B_rich,"LR-XGB (residual, tanpa gerbang)",True,7,-1.2253850024868451,-2.725036753197309,0.2942173762766808,0.117,False
daily,N05C,A_lag1,Naive,False,7,-31.099013221220815,-34.68975190614101,-27.15329217652135,0.0005,True
daily,N05C,A_lag1,S1 [linear],False,7,0.0,0.0,0.0,1.0,False
daily,N05C,A_lag1,XGBoost,False,7,0.038269112711741826,-0.23744647290107251,0.29896420797298573,0.779,False
daily,N05C,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,7,0.006311323008567626,-0.28666710081333924,0.28548216455316466,0.954,False
daily,N05C,B_rich,Naive,False,7,-30.858451901972217,-34.30470781954791,-26.915442152358917,0.0005,True
daily,N05C,B_rich,S1 [linear],False,7,0.18693038921020477,-0.502489456696007,0.9741780476810838,0.604,False
daily,N05C,B_rich,XGBoost,False,7,-0.9209100475187193,-2.523113092303291,0.5349158488148752,0.215,False
daily,N05C,B_rich,"LR-XGB (residual, tanpa gerbang)",False,7,-1.0424013085448491,-2.6188539485275073,0.33213824504159206,0.142,False
daily,R03,A_lag1,Naive,False,7,-23.388508791323627,-28.13434075397552,-17.512557371614424,0.0005,True
daily,R03,A_lag1,S1 [linear],False,7,0.7117797072782484,-0.31126430300170815,1.752488143272833,0.19,False
