model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,group,config,resid_test_r2,cross_fit_folds_protocol,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
Naive,M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,16.10771388888889,4.013441651362194,3.0631666666666666,-1.0135175174201398,0.7615879663548235,60.64799416086532,1.6456212980051426,19.57956777777778,4.424880538249341,3.615,-1.355459040895902,0.7732350512444723,64.06895698406898,2.5853648715476534,0.0,daily,5,origin0,daily|M01AB|A_lag1,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,14.948653333333333,3.86634883751238,2.948111111111111,-0.8686311140198606,0.7336757337383941,58.6640132972522,1.9328171512145973,17.73320888888889,4.211081676824719,3.3453333333333326,-1.1333385739411683,0.7358743197759832,61.33166514191303,3.7311810979652233,0.0,daily,5,origin0,daily|M01AB|A_lag1,,5,,,,,,,,,,,,,,
S1 [linear],M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,8.126955337359913,2.850781530977061,2.1312513955312906,-0.0158962996203342,0.5409623702793372,43.27284281888849,1.7388753316472731,8.976306902298385,2.996048548054317,2.413626326927887,-0.0798667001664896,0.5235508015550328,46.48740498489894,1.7679668133343482,0.098,daily,5,origin0,daily|M01AB|A_lag1,,5,linear,0.0,2.850781530977061,0.0,,2.996048548054317,,,,,,,,
AR-LRX [linear],M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,8.11973134218945,2.8495142291607265,2.134879584453982,-0.0149932763283995,0.5407218879459933,43.381825758132415,1.7262783637531152,9.102299493927063,3.017001739132257,2.4429500652868312,-0.0950238472703448,0.5272123109758715,46.97503036355724,1.7984234383818338,6.174,daily,5,origin0,daily|M01AB|A_lag1,-0.1430898567653256,5,linear,0.2,2.850781530977061,0.0445,-0.0230191035821314,2.996048548054317,5.0,,,,,,,
AR-LRX-g [linear],M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,8.126955337359913,2.850781530977061,2.1312513955312906,-0.0158962996203342,0.5409623702793372,43.27284281888849,1.7388753316472731,8.976306902298385,2.996048548054317,2.413626326927887,-0.0798667001664896,0.5235508015550328,46.48740498489894,1.7679668133343482,7.29,daily,5,origin0,daily|M01AB|A_lag1,-0.2555812760269018,5,linear,0.0,2.850781530977061,0.0,-0.1941504392019868,2.996048548054317,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.850781530977061
AR-LRX-Aug [linear],M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,8.126955337359913,2.850781530977061,2.1312513955312906,-0.0158962996203342,0.5409623702793372,43.27284281888849,1.7388753316472731,8.976306902298385,2.996048548054317,2.413626326927887,-0.0798667001664896,0.5235508015550328,46.48740498489894,1.7679668133343482,6.783,daily,5,origin0,daily|M01AB|A_lag1,-0.2533930763849958,5,linear,0.0,2.850781530977061,0.0,-0.203005023327994,2.996048548054317,5.0,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.8618681023243404
XGBoost,M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,8.224046065201751,2.867759764206505,2.181691508187188,-0.0280329617585577,0.5441841483044698,44.421382666088334,1.69140140173784,9.71556026526174,3.116979349508389,2.5629620804256863,-0.1688002781222317,0.5446831086650388,48.80488768662509,1.9165987831195472,6.048,daily,5,origin0,daily|M01AB|A_lag1,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,8.239980193176214,2.8705365688623816,2.190317617287393,-0.0300247804624846,0.5447110728730918,44.53003082993468,1.678470361594382,9.7587560027139,3.1239007671041503,2.572190390598569,-0.173996807047928,0.5458926063323951,48.95642210893679,1.923872604128712,6.787,daily,5,origin0,daily|M01AB|A_lag1,,5,,,,,,,5.0,,,,,,,
Naive,M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,16.10771388888889,4.013441651362194,3.0631666666666666,-1.0135175174201398,0.7615879663548235,60.64799416086532,1.6456212980051426,19.57956777777778,4.424880538249341,3.615,-1.355459040895902,0.7732350512444723,64.06895698406898,2.5853648715476534,0.0,daily,5,origin0,daily|M01AB|B_rich,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,14.948653333333333,3.86634883751238,2.948111111111111,-0.8686311140198606,0.7336757337383941,58.6640132972522,1.9328171512145973,17.73320888888889,4.211081676824719,3.3453333333333326,-1.1333385739411683,0.7358743197759832,61.33166514191303,3.7311810979652233,0.0,daily,5,origin0,daily|M01AB|B_rich,,5,,,,,,,,,,,,,,
S1 [linear],M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,8.07914805523686,2.8423842201991025,2.1247567935326,-0.0099202312173927,0.5393689022801043,43.09129617937356,1.6976818540136285,8.835509718053542,2.972458530922432,2.3932209546047383,-0.0629285325661503,0.5194285144224974,45.83726413273188,1.932902664329592,0.013,daily,5,origin0,daily|M01AB|B_rich,,5,linear,0.0,2.8423842201991025,0.0,,2.972458530922432,,,,,,,,
AR-LRX [linear],M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,8.077623479660582,2.842116021498873,2.12756384772034,-0.0097296542273466,0.5393180090766071,43.16924184522208,1.691848123373307,8.894924326610719,2.9824359719213955,2.406970671352226,-0.0700762223658266,0.5211720433235453,46.05500767038885,1.9543757607388768,7.437,daily,5,origin0,daily|M01AB|B_rich,-0.1446218466488724,5,linear,0.1,2.8423842201991025,0.0094,-0.0351768985937444,2.972458530922432,5.0,,,,,,,
AR-LRX-g [linear],M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,8.07914805523686,2.8423842201991025,2.1247567935326,-0.0099202312173927,0.5393689022801043,43.09129617937356,1.6976818540136285,8.835509718053542,2.972458530922432,2.3932209546047383,-0.0629285325661503,0.5194285144224974,45.83726413273188,1.932902664329592,8.537,daily,5,origin0,daily|M01AB|B_rich,-0.1290798879100489,5,linear,0.0,2.8423842201991025,0.0,-0.0643765027294416,2.972458530922432,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.842384220199103
AR-LRX-Aug [linear],M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,8.07914805523686,2.8423842201991025,2.1247567935326,-0.0099202312173927,0.5393689022801043,43.09129617937356,1.6976818540136285,8.835509718053542,2.972458530922432,2.3932209546047383,-0.0629285325661503,0.5194285144224974,45.83726413273188,1.932902664329592,8.407,daily,5,origin0,daily|M01AB|B_rich,-0.1649572172684736,5,linear,0.0,2.8423842201991025,0.0,-0.1185342855676756,2.972458530922432,5.0,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.842384220199103
XGBoost,M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,8.13366901281553,2.851958802790729,2.1422527657085,-0.0167355312598707,0.5411857685804224,43.481082285210256,1.7051219022421846,9.114145573166091,3.018964321280742,2.446105545891656,-0.0964489530111569,0.5275552665189731,46.546268954218725,2.081901790502631,7.361,daily,5,origin0,daily|M01AB|B_rich,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,8.195102773125798,2.8627089920433404,2.162476121881668,-0.0244149545100591,0.5432257172035815,43.939489445514624,1.6690123242799626,9.16760428940649,3.0278051934374,2.452906275396999,-0.1028801376988013,0.529100183308479,46.63334527045357,2.05394193078438,7.075,daily,5,origin0,daily|M01AB|B_rich,,5,,,,,,,5.0,,,,,,,
Naive,M01AE,A_lag1,pacf_train,1,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,7.890827355555555,2.809061650365751,2.1526222222222224,-0.2953832701427139,0.6876350224403764,59.74699460878488,2.9788138348034785,7.602882422222222,2.757332483075304,2.2170444444444444,-0.8460473435947686,0.8082753253060911,72.0272605216129,2.7422105559016825,0.0,daily,5,origin0,daily|M01AE|A_lag1,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AE,A_lag1,pacf_train,1,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,8.281171466666668,2.877702463192932,2.1980555555555554,-0.3594633986701825,0.7044377248170219,61.14009776752365,7.374014186537156,8.181080133333333,2.860258752863687,2.195377777777778,-0.9864388805662508,0.8384467916440792,69.63848636378324,4.284158744436614,0.0,daily,5,origin0,daily|M01AE|A_lag1,,5,,,,,,,,,,,,,,
S1 [linear],M01AE,A_lag1,pacf_train,1,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,5.874442850225107,2.423724994760154,1.797591718818137,0.0356328117819622,0.5933078011812937,47.65557405356189,4.568600037463108,4.314302742355675,2.077089969730651,1.6274312550685637,-0.0475510043020537,0.608871284576315,51.07684725647458,3.141769366795525,0.008,daily,5,origin0,daily|M01AE|A_lag1,,5,linear,0.0,2.423724994760154,0.0,,2.077089969730651,,,,,,,,
AR-LRX [linear],M01AE,A_lag1,pacf_train,1,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,5.729047384857735,2.3935428521039133,1.7972678729172,0.0595013929718555,0.5859194626804208,47.88326783073563,3.96703812255581,4.256485770660783,2.063125243571214,1.635969565185398,-0.0335125303280139,0.604777710932726,51.35626696694979,3.025759282551907,5.654,daily,5,origin0,daily|M01AE|A_lag1,-0.0398054683547308,5,linear,1.0,2.423724994760154,1.2453,0.0203589848283343,2.077089969730651,5.0,,,,,,,
AR-LRX-g [linear],M01AE,A_lag1,pacf_train,1,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,5.729047384857735,2.3935428521039133,1.7972678729172,0.0595013929718555,0.5859194626804208,47.88326783073563,3.96703812255581,4.256485770660783,2.063125243571214,1.635969565185398,-0.0335125303280139,0.604777710932726,51.35626696694979,3.025759282551907,5.502,daily,5,origin0,daily|M01AE|A_lag1,-0.0398054683547308,5,linear,1.0,2.423724994760154,1.2453,0.0203589848283343,2.077089969730651,5.0,False,global,1.0,"{""0"": 1.0}",1.0,1.0,2.399069761484433
AR-LRX-Aug [linear],M01AE,A_lag1,pacf_train,1,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,5.758664596867041,2.3997217748870474,1.7913812906954516,0.0546393374209742,0.5874320117930701,47.640951679517904,3.999401216502848,4.304599388731375,2.074752850035728,1.6558463717566196,-0.0451949439045202,0.6081861890380409,51.88724321998054,3.246357572646258,5.824,daily,5,origin0,daily|M01AE|A_lag1,-0.0740959969092502,5,linear,0.5999999999999999,2.423724994760154,0.9903,0.0057911812367673,2.077089969730651,5.0,True,global,1.0,"{""0"": 0.6}",0.6,0.6,2.404123476909368
XGBoost,M01AE,A_lag1,pacf_train,1,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.779997125929894,2.4041624583064043,1.8034498021549648,0.0511373217244329,0.58851905430861,47.98485154569055,4.048757931921362,4.2443512330786,2.060182330056881,1.6355633784400092,-0.0305661568836657,0.6039150349976525,51.36321160548102,3.021808957495776,5.443,daily,5,origin0,daily|M01AE|A_lag1,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AE,A_lag1,pacf_train,1,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.729047384857735,2.3935428521039133,1.7972678729172,0.0595013929718555,0.5859194626804208,47.88326783073563,3.96703812255581,4.256485770660783,2.063125243571214,1.635969565185398,-0.0335125303280139,0.604777710932726,51.35626696694979,3.025759282551907,5.836,daily,5,origin0,daily|M01AE|A_lag1,,5,,,,,,,5.0,,,,,,,
Naive,M01AE,B_rich,pacf_train,15,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,7.890827355555555,2.809061650365751,2.1526222222222224,-0.2953832701427139,0.6876350224403764,59.74699460878488,2.9788138348034785,7.602882422222222,2.757332483075304,2.2170444444444444,-0.8460473435947686,0.8082753253060911,72.0272605216129,2.7422105559016825,0.0,daily,5,origin0,daily|M01AE|B_rich,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AE,B_rich,pacf_train,15,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,8.281171466666668,2.877702463192932,2.1980555555555554,-0.3594633986701825,0.7044377248170219,61.14009776752365,7.374014186537156,8.181080133333333,2.860258752863687,2.195377777777778,-0.9864388805662508,0.8384467916440792,69.63848636378324,4.284158744436614,0.0,daily,5,origin0,daily|M01AE|B_rich,,5,,,,,,,,,,,,,,
S1 [linear],M01AE,B_rich,pacf_train,15,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,4.95509711781227,2.226004743438852,1.6528737750276965,0.1865555259136091,0.5449075215233026,44.727123463826864,4.329774424296876,4.321787665184335,2.0788909700088496,1.6177631855197308,-0.0493684100091935,0.6093992238417727,51.23327738716614,3.125609411166473,0.014,daily,5,origin0,daily|M01AE|B_rich,,5,linear,0.0,2.226004743438852,0.0,,2.0788909700088496,,,,,,,,
AR-LRX [linear],M01AE,B_rich,pacf_train,15,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.716716606282604,2.1718003145507194,1.6296638155308951,0.2256888274863757,0.5316387263475165,44.32276469346721,4.530472825167214,4.239915585466951,2.0591055304347448,1.6057170921776924,-0.0294891422679097,0.6035993855175067,51.03872366353029,3.093993837788468,8.248,daily,5,origin0,daily|M01AE|B_rich,0.007784149291505,5,linear,1.0,2.226004743438852,2.4351,0.0462161109018275,2.0788909700088496,5.0,,,,,,,
AR-LRX-g [linear],M01AE,B_rich,pacf_train,15,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.716716606282604,2.1718003145507194,1.6296638155308951,0.2256888274863757,0.5316387263475165,44.32276469346721,4.530472825167214,4.239915585466951,2.0591055304347448,1.6057170921776924,-0.0294891422679097,0.6035993855175067,51.03872366353029,3.093993837788468,8.782,daily,5,origin0,daily|M01AE|B_rich,0.007784149291505,5,linear,1.0,2.226004743438852,2.4351,0.0462161109018275,2.0788909700088496,5.0,False,global,1.0,"{""0"": 1.0}",1.0,1.0,2.1718003145507194
AR-LRX-Aug [linear],M01AE,B_rich,pacf_train,15,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.809627382434226,2.193086268808007,1.646404368223046,0.2104362995042433,0.5368493516221412,44.74795775497054,4.384548330143563,4.216344656947966,2.0533739690928114,1.6019885718514366,-0.0237659115822224,0.6019192545805963,50.795780240547714,3.046389810410981,8.358,daily,5,origin0,daily|M01AE|B_rich,0.0067654923139822,5,linear,0.5,2.226004743438852,1.4788,-0.0155082216407858,2.0788909700088496,5.0,True,global,1.0,"{""0"": 0.5}",0.5,0.5,2.211149937097768
XGBoost,M01AE,B_rich,pacf_train,15,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.1972281295290905,2.2797429963768043,1.713266517607371,0.1468065303231948,0.5580622006881704,46.10454763166159,4.349563507791805,4.193830984794414,2.0478845145159954,1.6110072291268245,-0.0182993921274232,0.6003100940201402,51.1366827172502,2.9965229855299764,7.958,daily,5,origin0,daily|M01AE|B_rich,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AE,B_rich,pacf_train,15,14,1822,180,90,2014-01-16,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.716716606282604,2.1718003145507194,1.6296638155308951,0.2256888274863757,0.5316387263475165,44.32276469346721,4.530472825167214,4.239915585466951,2.0591055304347448,1.6057170921776924,-0.0294891422679097,0.6035993855175067,51.03872366353029,3.093993837788468,7.939,daily,5,origin0,daily|M01AE|B_rich,,5,,,,,,,5.0,,,,,,,
Naive,N02BA,A_lag1,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,8.785277777777779,2.96399692607428,2.265,-1.0630399033547313,0.8986347426197916,76.63796921275522,3.963920957307402,4.256611111111112,2.063155619702768,1.6655555555555552,-0.876419159491588,0.7220844089957189,64.5794106315468,5.732745180840975,0.0,daily,5,origin0,daily|N02BA|A_lag1,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),N02BA,A_lag1,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,7.910374999999999,2.812538888620031,2.2202777777777776,-0.8575871689315726,0.8527151759333089,77.77809536022795,3.470010365595604,4.748027777777778,2.1789969659863635,1.7005555555555556,-1.093047746073021,0.7626277539909497,63.21854514450739,7.595450764019993,0.0,daily,5,origin0,daily|N02BA|A_lag1,,5,,,,,,,,,,,,,,
S1 [linear],N02BA,A_lag1,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,4.718362605741738,2.1721792296543434,1.7352165098717622,-0.1080093971262288,0.6585687406733733,55.81983879825444,3.041673913887525,3.1790859500262285,1.782999144707094,1.5127658807091355,-0.4014194932509582,0.6240323664150824,52.73035707347471,5.841378983910357,0.005,daily,5,origin0,daily|N02BA|A_lag1,,5,linear,0.0,2.1721792296543434,0.0,,1.782999144707094,,,,,,,,
AR-LRX [linear],N02BA,A_lag1,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.718362605741738,2.1721792296543434,1.7352165098717622,-0.1080093971262288,0.6585687406733733,55.81983879825444,3.041673913887525,3.1790859500262285,1.782999144707094,1.5127658807091355,-0.4014194932509582,0.6240323664150824,52.73035707347471,5.841378983910357,5.516,daily,5,origin0,daily|N02BA|A_lag1,-0.3394629566249592,5,linear,0.0,2.1721792296543434,0.0,-0.1217217749409496,1.782999144707094,5.0,,,,,,,
AR-LRX-g [linear],N02BA,A_lag1,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.718362605741738,2.1721792296543434,1.7352165098717622,-0.1080093971262288,0.6585687406733733,55.81983879825444,3.041673913887525,3.1790859500262285,1.782999144707094,1.5127658807091355,-0.4014194932509582,0.6240323664150824,52.73035707347471,5.841378983910357,5.748,daily,5,origin0,daily|N02BA|A_lag1,-0.3394629566249592,5,linear,0.0,2.1721792296543434,0.0,-0.1217217749409496,1.782999144707094,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.1721792296543434
AR-LRX-Aug [linear],N02BA,A_lag1,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.718362605741738,2.1721792296543434,1.7352165098717622,-0.1080093971262288,0.6585687406733733,55.81983879825444,3.041673913887525,3.1790859500262285,1.782999144707094,1.5127658807091355,-0.4014194932509582,0.6240323664150824,52.73035707347471,5.841378983910357,5.952,daily,5,origin0,daily|N02BA|A_lag1,-0.5553626609759432,5,linear,0.0,2.1721792296543434,0.0,-0.2034095326728624,1.782999144707094,5.0,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.1721792296543434
XGBoost,N02BA,A_lag1,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.91495144095494,2.216968976092119,1.7776200090514287,-0.1541741994076944,0.6721482494468274,56.549202964977766,3.110805141980587,3.087466569920059,1.7571188263518376,1.4925415372848507,-0.3610314108717147,0.6149745065979599,52.310113555811725,5.627598063999111,5.606,daily,5,origin0,daily|N02BA|A_lag1,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N02BA,A_lag1,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.877174033298117,2.208432483300795,1.770060747684923,-0.1453029603401645,0.6695601263165624,56.46349368690344,3.1139914360148606,3.035929615385146,1.7423919235881309,1.477744218867083,-0.3383126502457494,0.6098202338049067,51.98171392645384,5.56978608269795,6.108,daily,5,origin0,daily|N02BA|A_lag1,,5,,,,,,,5.0,,,,,,,
Naive,N02BA,B_rich,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,8.785277777777779,2.96399692607428,2.265,-1.0630399033547313,0.8986347426197916,76.63796921275522,3.963920957307402,4.256611111111112,2.063155619702768,1.6655555555555552,-0.876419159491588,0.7220844089957189,64.5794106315468,5.732745180840975,0.0,daily,5,origin0,daily|N02BA|B_rich,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),N02BA,B_rich,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,7.910374999999999,2.812538888620031,2.2202777777777776,-0.8575871689315726,0.8527151759333089,77.77809536022795,3.470010365595604,4.748027777777778,2.1789969659863635,1.7005555555555556,-1.093047746073021,0.7626277539909497,63.21854514450739,7.595450764019993,0.0,daily,5,origin0,daily|N02BA|B_rich,,5,,,,,,,,,,,,,,
S1 [linear],N02BA,B_rich,pacf_train,1,1,1835,180,90,2014-01-03,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,4.718362605741738,2.1721792296543434,1.7352165098717622,-0.1080093971262288,0.6585687406733733,55.81983879825444,3.041673913887525,3.1790859500262285,1.782999144707094,1.5127658807091355,-0.4014194932509582,0.6240323664150824,52.73035707347471,5.841378983910357,0.011,daily,5,origin0,daily|N02BA|B_rich,,5,linear,0.0,2.1721792296543434,0.0,,1.782999144707094,,,,,,,,
