model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s
LR-XGB (residual),N02BE,B_rich,acf_full,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,131.61247151852984,11.4722478842871,8.969247233327541,0.28824602025393176,0.3841884993271529,31.395587166366322,0.5247157983663384,161.26518700989536,12.699023073051539,9.320831678500587,0.4202401073280253,0.43115335422697915,33.80038941425892,0.4910143562375026,7.234
LR,N05B,B_rich,acf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,22.121535572971776,4.703353651701281,3.4966883742269155,0.03819274004682072,0.5131464395559379,39.37344562383443,0.8682197354640178,19.658609097174086,4.433803006130751,3.492097883087328,-0.05180351489516477,0.5202530178203465,44.6846688968021,1.2961836959440327,0.009
LR-XGB (residual),N05B,B_rich,acf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,22.318606451802413,4.72425723810658,3.501918219919053,0.0296244288028108,0.5154270677485359,39.402252132106504,0.8753519513238462,19.893133880008307,4.460171956327279,3.500961943737221,-0.06435140115180316,0.5233470943721303,44.79178007004501,1.279937258995549,5.872
LR,N05C,B_rich,acf_full,5,4,1471,315,316,2014-01-06,2018-01-15,2018-01-16,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,1.6437424393165845,1.2820851919106564,0.8447393340315856,0.013784353965485163,2.019284177259284,166.6847631021867,0.6327010175711315,1.307779553292964,1.1435818961897586,0.8523678212335948,-0.0158901808180838,1.6060972408709497,157.24269011351566,0.6140738365023324,0.01
LR-XGB (residual),N05C,B_rich,acf_full,5,4,1471,315,316,2014-01-06,2018-01-15,2018-01-16,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.7203309010206091,1.3116138536248423,0.8490767819898074,-0.03216733373908509,2.0657918194591267,168.33295242514598,0.6681654892096879,1.3046665405634432,1.1422200053244749,0.8425915299412985,-0.013471975810428916,1.6041845408112625,157.7861447787135,0.6206017458407412,5.717
LR,R03,B_rich,acf_full,16,15,1463,313,315,2014-01-17,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,{},1,none,42,46.562934941396136,6.823703901943294,4.868344782098641,0.06454387998991518,0.9965329855631639,87.04648411999753,1.8013987634268864,61.33749939038276,7.831826057209312,5.422514224993088,0.06928762695066526,1.0681111430449084,86.50914484720634,2.100140558870558,0.016
LR-XGB (residual),R03,B_rich,acf_full,16,15,1463,313,315,2014-01-17,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,47.709362132166774,6.90719640173687,4.92435007871422,0.04151199136214467,1.008726221273132,87.79305935574293,1.7675111175069227,61.49553735916242,7.84190903792963,5.3970930430609005,0.06688961766732826,1.0694862685882758,86.74188814689683,2.064608541999309,7.243
LR,R06,B_rich,acf_full,4,3,1472,315,316,2014-01-05,2018-01-15,2018-01-16,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,5.814934169328934,2.4114174606087877,1.8511387305301414,0.24252212215138436,0.6854326837139219,64.04372157718696,1.4567097854546567,5.632506729572009,2.373290275034221,1.767979889595745,0.2114513687490006,0.6589171449878436,59.87402076497431,0.9188311773533646,0.013
LR-XGB (residual),R06,B_rich,acf_full,4,3,1472,315,316,2014-01-05,2018-01-15,2018-01-16,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,6.244180811454441,2.498835891261057,1.880187444241339,0.18660664209902877,0.7102809111597483,64.77919814456624,1.3977446562097828,5.790029814383982,2.4062480783127875,1.776024567326592,0.18939820150345443,0.6680675055104607,59.72768077626582,0.9421573162661651,5.701
LR,M01AB,B_rich,pacf_significant,16,15,1463,313,315,2014-01-17,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,{},1,none,42,7.398393601326287,2.71999882377296,2.1805254173065998,-0.016135939194469984,0.5514880206257078,47.56866068710983,1.3528446527186737,8.462352854179123,2.9090123502967673,2.2424716114804646,-0.006300581081130074,0.5476205188180802,46.554463562046664,1.797407238706068,0.019
LR-XGB (residual),M01AB,B_rich,pacf_significant,16,15,1463,313,315,2014-01-17,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.704079188592425,2.7756223065454035,2.2272221589619976,-0.058120473683038965,0.5627658506550357,48.363743169343046,1.3605933976340323,8.468201560568117,2.9100174502171146,2.2364785077371003,-0.0069960799263373286,0.5478097285131811,46.453878026760385,1.889509022251311,7.952
LR,M01AE,B_rich,pacf_significant,23,22,1458,312,314,2014-01-24,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,3.992063844735992,1.9980149761040311,1.577416328521002,0.0019669276505251965,0.5170914838550785,43.51610473170574,8.865383869869808,4.846460769926096,2.201467867111872,1.6762481406660594,0.1258208340658623,0.5737224018135798,48.615172858586256,3.8851629560566225,0.019
LR-XGB (residual),M01AE,B_rich,pacf_significant,23,22,1458,312,314,2014-01-24,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,3.997116881994447,1.9992790905710105,1.5878956178673547,0.0007036466771004335,0.5174186399741821,43.86232599220111,8.636722440070608,4.780625047342136,2.1864640512348097,1.6772138890572474,0.13769593628772436,0.5698122719361677,48.75809386221023,3.7968961358450044,9.036
LR,N02BA,B_rich,pacf_significant,19,18,1461,313,314,2014-01-20,2018-01-19,2018-01-20,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,4.647149211918744,2.1557247532833927,1.7515180775127024,-0.06766003279633881,0.6882311788838249,60.41813283716524,2.8980162787751893,4.043241927439805,2.010781422094357,1.5960661236831413,-0.042660553010891666,0.6532361145699943,56.498674965013564,3.9730680780658902,0.022
LR-XGB (residual),N02BA,B_rich,pacf_significant,19,18,1461,313,314,2014-01-20,2018-01-19,2018-01-20,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.674666210143176,2.162097641214008,1.7456881921291387,-0.0739819299179989,0.6902657708078176,60.120523291861694,3.0566730804930913,4.118618155754517,2.029437891573555,1.6161785583313106,-0.06209837575533905,0.6592969820020653,57.23712311091247,4.10802272105065,8.674
LR,N02BE,B_rich,pacf_significant,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,130.55359382382215,11.426005155951145,8.957999401132012,0.28917503158301394,0.38364374706414023,31.444875376368337,0.5250488664245972,161.93842495586463,12.725502935281758,9.601362784060239,0.42037808892634776,0.43237931418687536,34.64397405371618,0.5018747076634062,0.02
LR-XGB (residual),N02BE,B_rich,pacf_significant,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,132.71772056100932,11.52031772830113,9.05448519276921,0.27739201378507183,0.38681042064408,31.704998708673855,0.521341922709188,168.04400762808993,12.96317891676613,9.46562832491894,0.3985245387410973,0.44045492254558183,34.31088096056949,0.500025571839536,9.014
LR,N05B,B_rich,pacf_significant,26,25,1456,312,313,2014-01-27,2018-01-21,2018-01-22,2018-11-29,2018-11-30,2019-10-08,{},1,none,42,23.228216881014045,4.819566046960457,3.6211813752880984,-0.0002638778476720116,0.5226277654148695,40.29601502281967,0.9274943505379636,19.080794883967716,4.368156920712409,3.3594306798480766,-0.0304163237620787,0.5134954992049064,43.327600060596055,1.2364724654849726,0.033
LR-XGB (residual),N05B,B_rich,pacf_significant,26,25,1456,312,313,2014-01-27,2018-01-21,2018-01-22,2018-11-29,2018-11-30,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,23.325406229537723,4.829638312496881,3.6480011713594505,-0.00444908909904651,0.5237199893990778,40.755414698689016,0.9111477031557714,18.88752544318911,4.34597807670369,3.369475135915319,-0.019979233070957836,0.5108882813822034,43.51156190153341,1.2355469620672321,6.847
LR,N05C,B_rich,pacf_significant,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,1.6328380334848944,1.2778255097957993,0.8435138580167302,0.02268406858896721,2.006186050379405,166.4662038517874,0.6325619685318218,1.3157798107060052,1.1470744573505267,0.8571858049201146,-0.02210482374430267,1.611002348990073,157.0940017377655,0.6141574023080745,0.012
LR-XGB (residual),N05C,B_rich,pacf_significant,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.6421197038335154,1.281452185543228,0.8411689451717003,0.017128634359858452,2.011879931302868,168.17285953585875,0.6702855255126992,1.4270949294255526,1.1946107857480412,0.8727272986649869,-0.10857500581668966,1.677764481317249,158.93397025986246,0.6469173243162316,5.555
LR,R03,B_rich,pacf_significant,23,22,1458,312,314,2014-01-24,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,46.931607251730625,6.850664730646992,4.915884672298067,0.05912061184979589,0.9972739512244776,87.56595622760047,1.881414952348165,61.89690959370441,7.867458903210388,5.522438739119404,0.0637607705647727,1.0732819879165663,86.9275035710137,2.1970295757254616,0.018
LR-XGB (residual),R03,B_rich,pacf_significant,23,22,1458,312,314,2014-01-24,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,49.41418588013965,7.029522450361735,5.094483168125507,0.009350165071710714,1.023310861781342,89.35458379611643,2.0644066640331373,65.49117428797737,8.092661755440998,5.762040860410503,0.009394702374275754,1.1040042538858132,88.35432810278259,2.3111376919639186,6.669
LR,R06,B_rich,pacf_significant,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,5.292509811294304,2.3005455464507336,1.7982832252206686,0.3063241781445025,0.6465233385810025,62.34707780009909,1.6948379425493336,5.294575198621685,2.3009943934355177,1.7417583062600193,0.2625614450841608,0.6381658580767487,59.366909595254484,1.0321737665005442,0.021
LR-XGB (residual),R06,B_rich,pacf_significant,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.700237344906111,2.387516983166007,1.8614863013172733,0.25288436564425554,0.6709649601403299,63.57386744941014,1.8494487690085486,5.390155986621517,2.3216709471028656,1.7628049327938653,0.24924877021674907,0.6439003660142026,59.55495026752624,1.061500618951962,7.287
