model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s
LR,R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,55.86248272495644,7.474120866359899,5.098668280401342,-0.05072559365971152,1.0759045232050122,89.90307176351305,1.534883973521318,68.69126047976773,8.288019092628089,5.640236283663765,-0.044864664075809024,1.1272547554680319,91.40346584251877,1.8249838135443173,0.008
LR-XGB (residual),R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,55.43221215249403,7.445281200364029,5.0996326770201525,-0.042632571641503025,1.071753034669105,89.79618600545632,1.64275653844751,70.5873331035046,8.401626812915735,5.716989898731606,-0.07370587722617317,1.14270655903181,91.76611491024876,1.9813444919931829,7.456
LR,R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,0.022
LR-XGB (residual),R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.276050515424541,2.6974155251693315,2.0329130599651872,0.05298711747947649,0.7674186149099887,68.13065585253656,1.5452658412131282,6.4827238175658985,2.546119364359397,1.9025153338894756,0.08969484183889631,0.7072739718901907,62.71719457330026,1.0084620575633103,7.931
LR,M01AB,B_rich,pacf_full,7,6,1470,315,315,2014-01-08,2018-01-16,2018-01-17,2018-11-27,2018-11-28,2019-10-08,{},1,none,42,7.43875571738884,2.727408241790884,2.183547429951563,-0.02668564529111772,0.5525863297405553,47.53812093611674,1.3287866051286683,8.497848858170462,2.915107006298476,2.251236367403838,-0.01052158794033975,0.5487678355977195,46.735074816805444,1.8362142070441339,0.012
LR-XGB (residual),M01AB,B_rich,pacf_full,7,6,1470,315,315,2014-01-08,2018-01-16,2018-01-17,2018-11-27,2018-11-28,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.745348145135371,2.783046558204762,2.240233097549304,-0.06900106153559804,0.563858926409069,48.560499912038075,1.295764183114819,8.514631403039308,2.9179841334454353,2.277283148758295,-0.012517284048095378,0.5493094537385853,47.312367948609236,1.867322607754854,7.185
LR,M01AE,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,4.004557303514601,2.001139001547519,1.5974605981577936,-0.007819882369826114,0.521403236722512,44.12206739228305,8.914686602119621,5.35665831899571,2.314445574861442,1.7519632788929502,0.028074660954972686,0.6025865444795508,49.94741641016748,3.8696619898956697,0.012
LR-XGB (residual),M01AE,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.1498191855726985,2.0371104991071785,1.6263064179848228,-0.04437768434212552,0.5307757267108928,44.69379255256867,9.496433611249628,5.2911644757557275,2.300253132973788,1.7625043070466575,0.03995802591977715,0.5988914156730244,50.254420213875065,3.5459230530531625,5.459
LR,N02BA,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,0.01
LR-XGB (residual),N02BA,B_rich,pacf_full,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.333321156054457,2.3093984402987844,1.9195163597968696,-0.23429088482031224,0.7329576913794631,62.55887301354617,3.3215966000967594,4.679212141682377,2.16314866379599,1.7681598041443223,-0.2116366884167371,0.7057980818520188,59.397783423409365,4.205068020253378,6.115
