model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,group,config,resid_test_r2,cross_fit_folds_protocol,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
AR-LRX-g [linear],M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.030009093885328,2.007488254980668,1.604507226399023,-0.0075195472813609,0.519543193121465,44.18282874781168,8.974778377032807,5.39158856688948,2.3219794501436657,1.7570176272245002,0.0274935421513066,0.6051288083736097,50.103371144787765,3.901992843556399,10.874,daily,5,seed42,daily|M01AE|A_lag1,0.0157892826570177,5,linear,0.0,2.007488254980668,0.0,-0.0326229141789218,2.3219794501436657,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.007488254980668
AR-LRX-Aug [linear],M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.020366037967231,2.0050850450709645,1.6070817241559627,-0.0051087419688493,0.5189212361326105,44.25634438132903,9.048097281358087,5.393526119288768,2.322396632638096,1.7638211966629147,0.0271440566152071,0.605237529898132,50.24463940095942,4.000155731996157,6.835,daily,5,seed42,daily|M01AE|A_lag1,-0.0133149450410274,5,linear,0.3,2.007488254980668,0.1197,-0.0069470311500523,2.3219794501436657,5.0,True,global,1.0,"{""0"": 0.3}",0.3,0.3,2.007699818990769
XGBoost,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.146593883941135,2.036318708832469,1.6288393891835824,-0.0366662445121792,0.5270045897279672,44.69920984650791,9.582399653500117,5.3194486649593244,2.3063929988099003,1.7637240654222528,0.0405057591677328,0.6010668384359381,50.411534961428096,3.5090514062897897,7.285,daily,5,seed42,daily|M01AE|A_lag1,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.157718281754721,2.039048376511632,1.6313511993076015,-0.0394473916480324,0.5277110348385048,44.73340172659191,9.73882632001692,5.300605637270277,2.302304418896484,1.7608041776470744,0.043904565639272,0.6000013175973309,50.3602567985356,3.5765234797874634,6.54,daily,5,seed42,daily|M01AE|A_lag1,,5,,,,,,,5.0,,,,,,,
Naive,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,8.063918044871794,2.839703865700048,2.218602564102564,-1.0160140755539473,0.7349227624344821,60.37815381835404,19.092561696684115,8.127574394904459,2.850890105722151,2.2165859872611464,-0.4660092267111404,0.7429677004131198,66.51148449675807,2.7600257404290813,0.0,daily,5,seed42,daily|M01AE|B_rich,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,7.688206141025641,2.7727614648623566,2.131211538461538,-0.9220844891801484,0.7175978946051728,58.50321369891426,11.658897336905705,8.206476410828024,2.864694819841727,2.21325796178344,-0.4802411583711663,0.7465653335466087,66.23754139148446,6.085345931316496,0.0,daily,5,seed42,daily|M01AE|B_rich,,5,,,,,,,,,,,,,,
S1 [linear],M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,4.001935488421122,2.000483813586384,1.5815566832610757,-0.0005010255835395,0.5177304254308,43.62955907641378,8.745514089424283,4.850956322761249,2.2024886657509155,1.678172644923681,0.1250099498321069,0.573988431155052,48.66748692964677,3.912127464558648,0.024,daily,5,seed42,daily|M01AE|B_rich,,5,linear,0.0,2.000483813586384,0.0,,2.2024886657509155,,,,,,,,
AR-LRX [linear],M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.001006958935665,2.0002517238926867,1.5812407657903254,-0.0002688892322235,0.5176703600131045,43.62477731159512,8.758604613081117,4.831850059137226,2.198146960313897,1.6782474899214417,0.1284562374204867,0.5728569435196857,48.695391397736735,3.9054671248267696,10.528,daily,5,seed42,daily|M01AE|B_rich,0.0184096021846558,5,linear,0.1,2.000483813586384,0.0116,-0.0144510800297208,2.2024886657509155,5.0,,,,,,,
AR-LRX-g [linear],M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.001935488421122,2.000483813586384,1.5815566832610757,-0.0005010255835395,0.5177304254308,43.62955907641378,8.745514089424283,4.850956322761249,2.2024886657509155,1.678172644923681,0.1250099498321069,0.573988431155052,48.66748692964677,3.912127464558648,10.572,daily,5,seed42,daily|M01AE|B_rich,-0.0316435981339058,5,linear,0.0,2.000483813586384,0.0,-0.0392874744415161,2.2024886657509155,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.003233494454593
AR-LRX-Aug [linear],M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,3.986697631503222,1.9966716383780336,1.5809328644695897,0.0033085039598936,0.5167438245500372,43.65385868713064,8.742280765484871,4.828932778973694,2.1974832829793485,1.6829003624944738,0.1289824411103994,0.5726839832143845,48.83030362388321,3.911267077532127,8.91,daily,5,seed42,daily|M01AE|B_rich,-0.0047921347680697,5,linear,0.3999999999999999,2.000483813586384,0.1906,-0.0088508809756595,2.2024886657509155,5.0,True,global,1.0,"{""0"": 0.4}",0.4,0.4,2.003274490181957
