model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,group,config,resid_test_r2,cross_fit_folds_protocol,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
"LR-XGB (residual, tanpa gerbang)",N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,64.36183421276668,8.022582764469725,6.489062788093434,-1.0852225037244598,0.3637443067013981,27.58012293811265,0.481006287210162,47.46338240339044,6.889367344204433,5.209826434419364,-0.6621388543862958,0.3261910327141206,24.50082784547761,0.8870672712293275,5.318,weekly,2,seed42,weekly|N02BA|A_lag1,,5,,,,,,,5.0,,,,,,,
Naive,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,49.19444444444444,7.01387513750027,5.391111111111111,-0.5938228589736254,0.3180094520780979,25.109810773395424,0.3725147465421816,38.93119565217392,6.2394868100007965,5.060869565217392,-0.3633468510784168,0.2954211242448012,25.279798597319925,0.73400085945753,0.0,weekly,2,seed42,weekly|N02BA|B_rich,,5,,,,,,,,,,,,,,
SeasonalNaive(s=52),N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,65.91587345219507,8.118859122573507,6.734814814666667,-1.1355709382177106,0.368109481628018,30.532345050571653,0.437846578175141,51.94179347826088,7.207065524765325,5.744565217391305,-0.8189700930492263,0.3412330957122175,27.667323161502104,0.8050507911847538,0.0,weekly,2,seed42,weekly|N02BA|B_rich,,5,,,,,,,,,,,,,,
S1 [linear],N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,55.76310318721868,7.467469664298522,6.280953746808672,-0.806637102030147,0.3385754507742403,27.31280964135922,0.4743527058695995,47.144018591692,6.866150201655364,5.402531053338721,-0.6509549274676998,0.325091770136531,25.549350364411723,0.9667978071238208,0.005,weekly,2,seed42,weekly|N02BA|B_rich,,5,linear,0.0,7.467469664298522,0.0,,6.866150201655364,,,,,,,,
AR-LRX [linear],N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,55.10030062904451,7.422957673935944,6.278960623269953,-0.7851633384754599,0.3365572748887834,27.269060334078173,0.4654365256233672,46.917867695259496,6.849661867220855,5.389408070719584,-0.6430352602867975,0.324311096590149,25.499332113265368,0.9368348452887986,5.867,weekly,2,seed42,weekly|N02BA|B_rich,-1.6140889088063757,5,linear,0.1,7.467469664298522,0.5961,-2.446559640791663,6.866150201655364,5.0,,,,,,,
AR-LRX-g [linear],N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,55.10030062904451,7.422957673935944,6.278960623269953,-0.7851633384754599,0.3365572748887834,27.269060334078173,0.4654365256233672,46.91786769103063,6.849661866912164,5.389408071966747,-0.6430352601387053,0.3243110965755335,25.499332119206684,0.9368348448464726,5.142,weekly,2,seed42,weekly|N02BA|B_rich,-1.6140889088063757,5,linear,0.0999999999999999,7.467469664298522,0.5961,-2.446559640791663,6.866150201655364,5.0,False,global,1.0,"{""0"": 0.1}",0.1,0.1,7.5269174579653
AR-LRX-Aug [linear],N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,55.76310318721868,7.467469664298522,6.280953746808672,-0.806637102030147,0.3385754507742403,27.31280964135922,0.4743527058695995,47.144018591692,6.866150201655364,5.402531053338721,-0.6509549274676998,0.325091770136531,25.549350364411723,0.9667978071238208,5.189,weekly,2,seed42,weekly|N02BA|B_rich,-1.3626118236286469,5,linear,0.0,7.467469664298522,0.0,-1.823379861064728,6.866150201655364,5.0,True,global,1.0,"{""0"": 0.0}",0.0,0.0,7.467469664298522
XGBoost,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,67.6721896799193,8.226310818338881,6.81726533677843,-1.1924728299444165,0.3729813469272037,28.900227202,0.5011228948549035,51.29036438218966,7.161729147502694,5.5211410356604524,-0.7961574413453227,0.3390865532243569,25.80424506409592,0.9476206007750516,5.381,weekly,2,seed42,weekly|N02BA|B_rich,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,64.36183421276668,8.022582764469725,6.489062788093434,-1.0852225037244598,0.3637443067013981,27.58012293811265,0.481006287210162,47.46338240339044,6.889367344204433,5.209826434419364,-0.6621388543862958,0.3261910327141206,24.50082784547761,0.8870672712293275,5.048,weekly,2,seed42,weekly|N02BA|B_rich,,5,,,,,,,5.0,,,,,,,
Naive,N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,1680.9681508666667,40.999611594095214,33.66975555555555,0.5778299809887086,0.1966083430644854,16.091032387206173,0.1901027589132943,2872.5362513913046,53.59604697541886,41.5418695652174,0.6070022317317492,0.2638605401116403,20.08585888444381,0.3344249193079274,0.0,weekly,2,seed42,weekly|N02BE|A_lag1,,5,,,,,,,,,,,,,,
SeasonalNaive(s=52),N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,4928.619016884084,70.20412393074986,52.44873333333334,-0.2378076187729074,0.3366548107569486,28.57719475004721,0.2851328006650804,3827.384787608696,61.86586124518672,46.530130434782606,0.4763673812278127,0.3045739468456235,22.53129637433621,0.3785512957226687,0.0,weekly,2,seed42,weekly|N02BE|A_lag1,,5,,,,,,,,,,,,,,
S1 [linear],N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,1499.4320458283644,38.72250051105125,31.647842601792338,0.6234222195303742,0.1856887509121654,15.244489991691704,0.1862344902896344,2636.4831549119726,51.34669565718882,39.33803413707109,0.6392971557955466,0.252786681362296,19.063345346674403,0.3279954691336632,0.008,weekly,2,seed42,weekly|N02BE|A_lag1,,5,linear,0.0,38.72250051105125,0.0,,51.34669565718882,,,,,,,,
AR-LRX [linear],N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1499.4320458283644,38.72250051105125,31.647842601792338,0.6234222195303742,0.1856887509121654,15.244489991691704,0.1862344902896344,2636.4831549119726,51.34669565718882,39.33803413707109,0.6392971557955466,0.252786681362296,19.063345346674403,0.3279954691336632,5.013,weekly,2,seed42,weekly|N02BE|A_lag1,0.0759586679121533,5,linear,0.0,38.72250051105125,0.0,-0.6747563632010964,51.34669565718882,5.0,,,,,,,
AR-LRX-g [linear],N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1499.4320458283644,38.72250051105125,31.647842601792338,0.6234222195303742,0.1856887509121654,15.244489991691704,0.1862344902896344,2636.4831549119726,51.34669565718882,39.33803413707109,0.6392971557955466,0.252786681362296,19.063345346674403,0.3279954691336632,5.042,weekly,2,seed42,weekly|N02BE|A_lag1,0.0759586679121533,5,linear,0.0,38.72250051105125,0.0,-0.6747563632010964,51.34669565718882,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,39.45447947127989
AR-LRX-Aug [linear],N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1490.2711034549422,38.60402962716383,31.704002810176537,0.6257229622386493,0.1851206390867879,15.256608424052434,0.1871900142893205,2612.2288895790107,51.1099685930153,39.17271265862909,0.6426154332036118,0.2516212422201049,19.00445745829733,0.3269391646184816,4.977,weekly,2,seed42,weekly|N02BE|A_lag1,0.044968754989898,5,linear,0.0999999999999999,38.72250051105125,0.3059,-0.5213671007891076,51.34669565718882,5.0,True,global,1.0,"{""0"": 0.1}",0.1,0.1,39.79035935759622
XGBoost,N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,2335.638184007332,48.32844073635453,35.24635277370877,0.4134116009054086,0.231752796834624,16.020512042445954,0.2257822501096585,2374.291981880481,48.7267070699476,36.3201208190918,0.6751680854700124,0.2398881255409523,18.262068573842782,0.3231572837429486,5.461,weekly,2,seed42,weekly|N02BE|A_lag1,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,2507.309518535992,50.07304183426439,36.4163365095594,0.3702968693596075,0.2401188061169641,16.393194213958687,0.2275884383789881,2426.904004445557,49.26361745188387,37.45574698453828,0.667970123236415,0.2425314074873657,18.55645141191123,0.3244237291576879,5.17,weekly,2,seed42,weekly|N02BE|A_lag1,,5,,,,,,,5.0,,,,,,,
Naive,N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,1680.9681508666667,40.999611594095214,33.66975555555555,0.5778299809887086,0.1966083430644854,16.091032387206173,0.1901027589132943,2872.5362513913046,53.59604697541886,41.5418695652174,0.6070022317317492,0.2638605401116403,20.08585888444381,0.3344249193079274,0.0,weekly,2,seed42,weekly|N02BE|B_rich,,5,,,,,,,,,,,,,,
SeasonalNaive(s=52),N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,4928.619016884084,70.20412393074986,52.44873333333334,-0.2378076187729074,0.3366548107569486,28.57719475004721,0.2851328006650804,3827.384787608696,61.86586124518672,46.530130434782606,0.4763673812278127,0.3045739468456235,22.53129637433621,0.3785512957226687,0.0,weekly,2,seed42,weekly|N02BE|B_rich,,5,,,,,,,,,,,,,,
S1 [linear],N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,1499.4320458283644,38.72250051105125,31.647842601792338,0.6234222195303742,0.1856887509121654,15.244489991691704,0.1862344902896344,2636.4831549119726,51.34669565718882,39.33803413707109,0.6392971557955466,0.252786681362296,19.063345346674403,0.3279954691336632,0.006,weekly,2,seed42,weekly|N02BE|B_rich,,5,linear,0.0,38.72250051105125,0.0,,51.34669565718882,,,,,,,,
AR-LRX [linear],N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1499.4320458283644,38.72250051105125,31.647842601792338,0.6234222195303742,0.1856887509121654,15.244489991691704,0.1862344902896344,2636.4831549119726,51.34669565718882,39.33803413707109,0.6392971557955466,0.252786681362296,19.063345346674403,0.3279954691336632,6.556,weekly,2,seed42,weekly|N02BE|B_rich,0.0759586679121533,5,linear,0.0,38.72250051105125,0.0,-0.6747563632010964,51.34669565718882,5.0,,,,,,,
AR-LRX-g [linear],N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1499.4320458283644,38.72250051105125,31.647842601792338,0.6234222195303742,0.1856887509121654,15.244489991691704,0.1862344902896344,2636.4831549119726,51.34669565718882,39.33803413707109,0.6392971557955466,0.252786681362296,19.063345346674403,0.3279954691336632,6.299,weekly,2,seed42,weekly|N02BE|B_rich,0.0759586679121533,5,linear,0.0,38.72250051105125,0.0,-0.6747563632010964,51.34669565718882,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,39.45447947127989
AR-LRX-Aug [linear],N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1490.2711034549422,38.60402962716383,31.704002810176537,0.6257229622386493,0.1851206390867879,15.256608424052434,0.1871900142893205,2612.2288895790107,51.1099685930153,39.17271265862909,0.6426154332036118,0.2516212422201049,19.00445745829733,0.3269391646184816,5.244,weekly,2,seed42,weekly|N02BE|B_rich,0.044968754989898,5,linear,0.0999999999999999,38.72250051105125,0.3059,-0.5213671007891076,51.34669565718882,5.0,True,global,1.0,"{""0"": 0.1}",0.1,0.1,39.79035935759622
XGBoost,N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,2335.638184007332,48.32844073635453,35.24635277370877,0.4134116009054086,0.231752796834624,16.020512042445954,0.2257822501096585,2374.291981880481,48.7267070699476,36.3201208190918,0.6751680854700124,0.2398881255409523,18.262068573842782,0.3231572837429486,5.165,weekly,2,seed42,weekly|N02BE|B_rich,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,2507.309518535992,50.07304183426439,36.4163365095594,0.3702968693596075,0.2401188061169641,16.393194213958687,0.2275884383789881,2426.904004445557,49.26361745188387,37.45574698453828,0.667970123236415,0.2425314074873657,18.55645141191123,0.3244237291576879,5.469,weekly,2,seed42,weekly|N02BE|B_rich,,5,,,,,,,5.0,,,,,,,
Naive,N05B,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,426.96177777777774,20.663053447585565,15.013333333333332,-0.801173853632781,0.3220550724374308,22.340031684847204,0.2828881884247876,240.0434782608696,15.493336576117798,12.104347826086956,-0.5862350330555679,0.2638042206475491,21.2661248034866,0.3667312182996869,0.0,weekly,2,seed42,weekly|N05B|A_lag1,,5,,,,,,,,,,,,,,
SeasonalNaive(s=52),N05B,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,942.2986433552592,30.696883284060927,24.86833333177778,-2.975165382622386,0.4784426945770095,44.187967319122926,0.440706007994517,457.088695652174,21.379632729590423,16.165217391304346,-2.020494901632767,0.3640298732459134,26.617268981956737,0.5087289643221211,0.0,weekly,2,seed42,weekly|N05B|A_lag1,,5,,,,,,,,,,,,,,
S1 [linear],N05B,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.1116538796018928,0.2208425559919191,17.156348590497235,0.3310900704837283,0.006,weekly,2,seed42,weekly|N05B|A_lag1,,5,linear,0.0,16.738353378463156,0.0,,12.970179331908016,,,,,,,,
AR-LRX [linear],N05B,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.1116538796018928,0.2208425559919191,17.156348590497235,0.3310900704837283,5.962,weekly,2,seed42,weekly|N05B|A_lag1,-0.1261116597586833,5,linear,0.0,16.738353378463156,0.0,-0.341410336835678,12.970179331908016,5.0,,,,,,,
AR-LRX-g [linear],N05B,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.1116538796018928,0.2208425559919191,17.156348590497235,0.3310900704837283,6.524,weekly,2,seed42,weekly|N05B|A_lag1,-0.1261116597586833,5,linear,0.0,16.738353378463156,0.0,-0.341410336835678,12.970179331908016,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,16.738353378463152
AR-LRX-Aug [linear],N05B,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.1116538796018928,0.2208425559919191,17.156348590497235,0.3310900704837283,5.734,weekly,2,seed42,weekly|N05B|A_lag1,-0.1195392475896153,5,linear,0.0,16.738353378463156,0.0,-0.2582249474423557,12.970179331908016,5.0,True,global,1.0,"{""0"": 0.0}",0.0,0.0,16.738353378463152
XGBoost,N05B,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,372.768508581751,19.3072139000362,13.666486460367835,-0.5725550296555906,0.3009229099132824,20.249201460947283,0.2476714024689588,186.54184600753484,13.65803228900616,10.656571512636932,-0.2326900668654588,0.2325545918323525,18.54658861937829,0.3359197602013467,5.445,weekly,2,seed42,weekly|N05B|A_lag1,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N05B,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,374.45200065169263,19.35076227572683,13.49358200623078,-0.5796569812985668,0.3016016564171888,19.96848209616325,0.2474501353498088,184.2776203265933,13.574889330178472,10.68910096331487,-0.2177278020129627,0.231138921079438,18.63573647421044,0.3362690154550159,5.415,weekly,2,seed42,weekly|N05B|A_lag1,,5,,,,,,,5.0,,,,,,,
Naive,N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,426.96177777777774,20.663053447585565,15.013333333333332,-0.801173853632781,0.3220550724374308,22.340031684847204,0.2828881884247876,240.0434782608696,15.493336576117798,12.104347826086956,-0.5862350330555679,0.2638042206475491,21.2661248034866,0.3667312182996869,0.0,weekly,2,seed42,weekly|N05B|B_rich,,5,,,,,,,,,,,,,,
SeasonalNaive(s=52),N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,942.2986433552592,30.696883284060927,24.86833333177778,-2.975165382622386,0.4784426945770095,44.187967319122926,0.440706007994517,457.088695652174,21.379632729590423,16.165217391304346,-2.020494901632767,0.3640298732459134,26.617268981956737,0.5087289643221211,0.0,weekly,2,seed42,weekly|N05B|B_rich,,5,,,,,,,,,,,,,,
S1 [linear],N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.1116538796018928,0.2208425559919191,17.156348590497235,0.3310900704837283,0.006,weekly,2,seed42,weekly|N05B|B_rich,,5,linear,0.0,16.738353378463156,0.0,,12.970179331908016,,,,,,,,
AR-LRX [linear],N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.1116538796018928,0.2208425559919191,17.156348590497235,0.3310900704837283,7.074,weekly,2,seed42,weekly|N05B|B_rich,-0.1261116597586833,5,linear,0.0,16.738353378463156,0.0,-0.341410336835678,12.970179331908016,5.0,,,,,,,
AR-LRX-g [linear],N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.1116538796018928,0.2208425559919191,17.156348590497235,0.3310900704837283,5.734,weekly,2,seed42,weekly|N05B|B_rich,-0.1261116597586833,5,linear,0.0,16.738353378463156,0.0,-0.341410336835678,12.970179331908016,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,16.738353378463152
AR-LRX-Aug [linear],N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.1116538796018928,0.2208425559919191,17.156348590497235,0.3310900704837283,5.044,weekly,2,seed42,weekly|N05B|B_rich,-0.1195392475896153,5,linear,0.0,16.738353378463156,0.0,-0.2582249474423557,12.970179331908016,5.0,True,global,1.0,"{""0"": 0.0}",0.0,0.0,16.738353378463152
XGBoost,N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,372.768508581751,19.3072139000362,13.666486460367835,-0.5725550296555906,0.3009229099132824,20.249201460947283,0.2476714024689588,186.54184600753484,13.65803228900616,10.656571512636932,-0.2326900668654588,0.2325545918323525,18.54658861937829,0.3359197602013467,4.677,weekly,2,seed42,weekly|N05B|B_rich,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,374.45200065169263,19.35076227572683,13.49358200623078,-0.5796569812985668,0.3016016564171888,19.96848209616325,0.2474501353498088,184.2776203265933,13.574889330178472,10.68910096331487,-0.2177278020129627,0.231138921079438,18.63573647421044,0.3362690154550159,4.591,weekly,2,seed42,weekly|N05B|B_rich,,5,,,,,,,5.0,,,,,,,
Naive,N05C,A_lag1,pacf_train,1,10,204,43,45,2014-03-16,2018-02-04,2018-02-11,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,28.023255813953487,5.293699633900046,3.930232558139535,-0.7170930540827152,1.1381454212885098,103.83645136372506,1.694474186562659,16.266666666666666,4.033195589934446,3.466666666666667,-1.0887761572606216,0.8249718252138639,83.43106601001338,1.7005504134034763,0.0,weekly,2,seed42,weekly|N05C|A_lag1,,5,,,,,,,,,,,,,,
SeasonalNaive(s=52),N05C,A_lag1,pacf_train,1,10,204,43,45,2014-03-16,2018-02-04,2018-02-11,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,26.55813953488372,5.153458987406781,3.86046511627907,-0.6273197242841997,1.107993682292458,111.313739170882,1.3238583034523583,23.844444444444445,4.883077353927996,3.6222222222222222,-2.061826252377933,0.9988112769398172,94.92769692563294,1.404697471688822,0.0,weekly,2,seed42,weekly|N05C|A_lag1,,5,,,,,,,,,,,,,,
