granularitas,kategori,set_fitur,AR-LRX,w*,Naive,S1 [linear],XGBoost,"LR-XGB (residual, tanpa gerbang)"
daily,M01AB,A_lag1,2.964346614725,0.4,4.172631121149594,2.926773513022971,3.0326391219254933,3.043589724214723
daily,M01AB,B_rich,2.964346614725,0.4,4.172631121149594,2.926773513022971,3.0326391219254933,3.043589724214723
daily,M01AE,A_lag1,2.3219794501436657,0.0,2.850890105722151,2.3219794501436657,2.3063929988099003,2.302304418896484
daily,M01AE,B_rich,2.1981469603138972,0.1,2.850890105722151,2.2024886657509155,2.236458665803099,2.181645127402785
daily,N02BA,A_lag1,2.1504418216758197,0.2,2.7857271986389107,2.155381881254455,2.163322155186333,2.154908908715453
daily,N02BA,B_rich,2.1504418216758197,0.2,2.7857271986389107,2.155381881254455,2.163322155186333,2.154908908715453
daily,N02BE,A_lag1,14.339539223691217,0.0,16.358929364788672,14.339539223691217,14.26498962913785,14.22564575850422
daily,N02BE,B_rich,14.339539223691217,0.0,16.358929364788672,14.339539223691217,14.26498962913785,14.22564575850422
daily,N05B,A_lag1,4.436013471612635,0.1,5.898275425651589,4.433803006130751,4.458441589478386,4.49104610832393
daily,N05B,B_rich,4.436013471612635,0.1,5.898275425651589,4.433803006130751,4.458441589478386,4.49104610832393
daily,N05C,A_lag1,1.1452202613500821,0.0,1.662124612611251,1.1452202613500821,1.1447821616063838,1.1451479836493206
daily,N05C,B_rich,1.1492186878570338,0.2,1.662124612611251,1.1470744573505267,1.1599003271315227,1.161324349795306
daily,R03,A_lag1,8.347011511971203,0.7,10.895247426830068,8.288019092628089,8.39085434251842,8.396276225171658
daily,R03,B_rich,8.347011511971203,0.7,10.895247426830068,8.288019092628089,8.39085434251842,8.396276225171658
daily,R06,A_lag1,2.5460066570468127,0.0,3.0093697004008746,2.5460066570468127,2.5482158185637225,2.5441871366684237
daily,R06,B_rich,2.5460066570468127,0.0,3.0093697004008746,2.5460066570468127,2.5482158185637225,2.5441871366684237
weekly,M01AB,A_lag1,8.71926959440454,0.0,10.92053376798853,8.71926959440454,8.886386889663877,8.914599259692382
weekly,M01AB,B_rich,8.671302184129944,0.0,10.92053376798853,8.671302184129944,9.057634054506826,9.51556121263438
weekly,M01AE,A_lag1,9.198412377395988,0.2,9.950035478416101,9.227510641989534,9.642483774345669,9.251494035089543
weekly,M01AE,B_rich,9.198412377395988,0.2,9.950035478416101,9.227510641989534,9.642483774345669,9.251494035089543
weekly,N02BA,A_lag1,6.849661867220855,0.1,6.2394868100007965,6.866150201655364,7.161729147502694,6.889367344204433
weekly,N02BA,B_rich,6.849661867220855,0.1,6.2394868100007965,6.866150201655364,7.161729147502694,6.889367344204433
weekly,N02BE,A_lag1,51.34669565718882,0.0,53.59604697541886,51.34669565718882,48.7267070699476,49.26361745188387
weekly,N02BE,B_rich,51.34669565718882,0.0,53.59604697541886,51.34669565718882,48.7267070699476,49.26361745188387
weekly,N05B,A_lag1,12.970179331908016,0.0,15.493336576117798,12.970179331908016,13.65803228900616,13.574889330178472
weekly,N05B,B_rich,12.970179331908016,0.0,15.493336576117798,12.970179331908016,13.65803228900616,13.574889330178472
weekly,N05C,A_lag1,2.95509794238098,0.0,4.033195589934446,2.95509794238098,3.1121976706147483,3.1225177680615013
weekly,N05C,B_rich,3.072818485669757,0.7,4.033195589934446,2.941011440978122,2.9094256233559213,3.2039475490555818
weekly,R03,A_lag1,26.71174291434975,0.0,29.184948980164325,26.71174291434975,26.730460575696615,25.898327679177324
weekly,R03,B_rich,26.71174291434975,0.0,29.184948980164325,26.71174291434975,26.730460575696615,25.898327679177324
weekly,R06,A_lag1,8.927137273402836,0.0,9.413409722767604,8.927137273402836,9.834602740653823,9.943257486995076
weekly,R06,B_rich,8.927137273402836,0.0,9.413409722767604,8.927137273402836,9.834602740653823,9.943257486995076
