config,stage1,learner,setting,subsampled,val_r2,test_r2_refit,is_best_on_val,runtime_s
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1473648919829369,,False,0.83
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1747350144532651,,False,0.82
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0624217549753061,,False,0.15
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1253811771895916,,False,0.38
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1536573919414225,,False,0.6
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.1245506469259261,,False,0.16
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1787891965409693,,False,0.53
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1912429317171484,,False,0.8
pharma|daily|M01AE|A_lag1,linear,LightGBM,"leaves=15,n=100",False,-0.0867397791323987,-0.0013137704111678,True,0.23
pharma|daily|M01AE|A_lag1,linear,LightGBM,"leaves=15,n=400",False,-0.1651748771320285,,False,1.01
pharma|daily|M01AE|A_lag1,linear,LightGBM,"leaves=63,n=100",False,-0.1249912939041775,,False,0.48
pharma|daily|M01AE|A_lag1,linear,LightGBM,"leaves=63,n=400",False,-0.2288806522188233,,False,1.87
pharma|daily|M01AE|A_lag1,linear,RandomForest,"depth=6,leaf=5",False,-0.0307866941537728,,False,0.64
pharma|daily|M01AE|A_lag1,linear,RandomForest,"depth=6,leaf=50",False,-0.0195785020265386,0.0019306467595933,True,0.62
pharma|daily|M01AE|A_lag1,linear,RandomForest,"depth=None,leaf=5",False,-0.1532104958285676,,False,0.68
pharma|daily|M01AE|A_lag1,linear,RandomForest,"depth=None,leaf=50",False,-0.0231478898749128,,False,0.64
pharma|daily|M01AE|A_lag1,linear,kNN,k=10,False,-0.199972803579753,,False,0.0
pharma|daily|M01AE|A_lag1,linear,kNN,k=50,False,-0.0536982943224524,,False,0.0
pharma|daily|M01AE|A_lag1,linear,kNN,k=200,False,-0.0064337131792751,-0.0012900748398634,True,0.02
pharma|daily|M01AE|A_lag1,linear,Ridge,alpha=0.1,False,-0.0029650435668255,,False,0.0
pharma|daily|M01AE|A_lag1,linear,Ridge,alpha=10,False,-0.0029507965172443,,False,0.0
pharma|daily|M01AE|A_lag1,linear,Ridge,alpha=1000,False,-0.0021270344866834,0.0001448273070557,True,0.01
pharma|daily|M01AE|A_lag1,linear,MLP,"hidden=(32,)",False,-0.0118635968396572,,False,0.06
pharma|daily|M01AE|A_lag1,linear,MLP,"hidden=(64, 32)",False,-0.0081509037075042,-0.0009017937677662,True,0.31
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0144510800297208,0.0184096021846558,True,0.17
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0586278461414651,,False,0.49
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.08615901393295,,False,1.06
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0379543762990277,,False,0.37
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1224534040004363,,False,1.05
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1533403174876395,,False,1.75
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0392874744415161,,False,0.16
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.126322710184856,,False,0.46
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1719155427429279,,False,0.72
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.1088818786809582,,False,0.33
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1629326130814647,,False,0.85
pharma|daily|M01AE|B_rich,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1752975416039282,,False,1.45
pharma|daily|M01AE|B_rich,linear,LightGBM,"leaves=15,n=100",False,-0.0660238134105346,-0.0366539117187967,True,0.27
pharma|daily|M01AE|B_rich,linear,LightGBM,"leaves=15,n=400",False,-0.1741823534379758,,False,1.1
pharma|daily|M01AE|B_rich,linear,LightGBM,"leaves=63,n=100",False,-0.1176520831039817,,False,0.6
pharma|daily|M01AE|B_rich,linear,LightGBM,"leaves=63,n=400",False,-0.1916917729693221,,False,2.41
pharma|daily|M01AE|B_rich,linear,RandomForest,"depth=6,leaf=5",False,-0.0061088131307751,,False,0.72
pharma|daily|M01AE|B_rich,linear,RandomForest,"depth=6,leaf=50",False,0.0021430969584972,0.0027008077773902,True,0.65
pharma|daily|M01AE|B_rich,linear,RandomForest,"depth=None,leaf=5",False,-0.0189864095002658,,False,0.89
pharma|daily|M01AE|B_rich,linear,RandomForest,"depth=None,leaf=50",False,0.0011098077629281,,False,0.69
pharma|daily|M01AE|B_rich,linear,kNN,k=10,False,-0.1310985775278965,,False,3.65
pharma|daily|M01AE|B_rich,linear,kNN,k=50,False,-0.0190557053284898,,False,0.01
pharma|daily|M01AE|B_rich,linear,kNN,k=200,False,-0.0037564302313977,0.0006523891820698,True,0.02
pharma|daily|M01AE|B_rich,linear,Ridge,alpha=0.1,False,-0.0017032364387139,0.0074989100919197,True,0.01
pharma|daily|M01AE|B_rich,linear,Ridge,alpha=10,False,-0.0017107019165976,,False,0.0
pharma|daily|M01AE|B_rich,linear,Ridge,alpha=1000,False,-0.0018662351946323,,False,0.0
