model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
AR-LRX-g [linear],N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,8.153,daily,5,linear,0.0,2.2919736867101403,0.0,-0.2319837858991396,2.155381881254455,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.2976527406095744
AR-LRX-Aug [linear],N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,7.121,daily,5,linear,0.0,2.2919736867101403,0.0,-0.2319837858991396,2.155381881254455,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.2976527406095744
XGBoost,N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.331220175999178,2.3089435194476233,1.9189018702128577,-0.2338046548604915,0.732813308439296,62.54711440172541,3.317541156670962,4.67996274712004,2.163322155186333,1.7687966103057378,-0.21183105042881523,0.7058546890989322,59.417350130956606,4.196046041834413,8.075,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.333321156054457,2.3093984402987844,1.9195163597968696,-0.23429088482031224,0.7329576913794631,62.55887301354617,3.3215966000967594,4.679212141682377,2.16314866379599,1.7681598041443223,-0.2116366884167371,0.7057980818520188,59.397783423409365,4.205068020253378,6.131,daily,5,,,,,,,,,,,,,
Naive,N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,217.44338421587304,14.745961623979396,11.26143492063492,-0.17738576461804145,0.49498648361352615,39.65327459694022,0.6401810403773499,267.6145699621451,16.358929364788672,12.260832807570978,0.035374640876223995,0.5550064058152501,45.59922383129986,0.6090563105445783,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,230.10919060634924,15.169350368633102,11.791273015873015,-0.24596701943676735,0.5091986259791271,41.051854594294824,0.6799729413046828,266.48052583596217,16.32423124793208,11.935097791798109,0.039462339549118264,0.5538292091481757,44.49239311465449,0.6478070977049389,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,0.008,daily,5,linear,0.0,12.392370028709518,0.0,,14.339539223691217,,,,,,,
AR-LRX [linear],N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,7.034,daily,5,linear,0.0,12.392370028709518,0.0,-0.03458969841534931,14.339539223691217,,,,,,,
AR-LRX-g [linear],N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,8.167,daily,5,linear,0.0,12.392370028709518,0.0,-0.08919423883096389,14.339539223691217,False,global,1.0,"{""0"": 0.0}",0.0,0.0,12.39237002870952
AR-LRX-Aug [linear],N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,6.728,daily,5,linear,0.0,12.392370028709518,0.0,-0.08919423883096389,14.339539223691217,True,global,1.0,"{""0"": 0.0}",0.0,0.0,12.39237002870952
XGBoost,N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,156.3816289320099,12.505264048871975,9.946712917654855,0.1532439378816074,0.41977165247357723,34.663867229079116,0.5987058025031782,203.4899291194104,14.26498962913785,10.946068590952395,0.26651397947933475,0.48396569521845906,39.07560741324525,0.6022380834744682,23.851,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,158.85448822129626,12.603748974860467,10.007030300703148,0.13985420273004812,0.4230775546891851,34.80096516755009,0.6028069357074654,202.66922065488424,14.236194036851431,10.961514001742676,0.2694722496416859,0.48298875242337586,39.13963743583572,0.6044580812587246,5.147,daily,5,,,,,,,,,,,,,
Naive,N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,217.44338421587304,14.745961623979396,11.26143492063492,-0.17738576461804145,0.49498648361352615,39.65327459694022,0.6401810403773499,267.6145699621451,16.358929364788672,12.260832807570978,0.035374640876223995,0.5550064058152501,45.59922383129986,0.6090563105445783,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,230.10919060634924,15.169350368633102,11.791273015873015,-0.24596701943676735,0.5091986259791271,41.051854594294824,0.6799729413046828,266.48052583596217,16.32423124793208,11.935097791798109,0.039462339549118264,0.5538292091481757,44.49239311465449,0.6478070977049389,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,0.008,daily,5,linear,0.0,12.392370028709518,0.0,,14.339539223691217,,,,,,,
AR-LRX [linear],N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,8.996,daily,5,linear,0.0,12.392370028709518,0.0,-0.03458969841534931,14.339539223691217,,,,,,,
AR-LRX-g [linear],N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,7.673,daily,5,linear,0.0,12.392370028709518,0.0,-0.08919423883096389,14.339539223691217,False,global,1.0,"{""0"": 0.0}",0.0,0.0,12.39237002870952
AR-LRX-Aug [linear],N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,8.548,daily,5,linear,0.0,12.392370028709518,0.0,-0.08919423883096389,14.339539223691217,True,global,1.0,"{""0"": 0.0}",0.0,0.0,12.39237002870952
XGBoost,N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,156.3816289320099,12.505264048871975,9.946712917654855,0.1532439378816074,0.41977165247357723,34.663867229079116,0.5987058025031782,203.4899291194104,14.26498962913785,10.946068590952395,0.26651397947933475,0.48396569521845906,39.07560741324525,0.6022380834744682,9.818,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,158.85448822129626,12.603748974860467,10.007030300703148,0.13985420273004812,0.4230775546891851,34.80096516755009,0.6028069357074654,202.66922065488424,14.236194036851431,10.961514001742676,0.2694722496416859,0.48298875242337586,39.13963743583572,0.6044580812587246,5.884,daily,5,,,,,,,,,,,,,
Naive,N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,36.112,6.009326085344346,4.477460317460317,-0.5700891855747092,0.6556309631765964,51.482848952749436,1.037593235641704,34.789652996845426,5.898275425651589,4.513564668769717,-0.8613666472123493,0.6920910978425946,58.41854125142585,1.4696289793176036,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,42.736761904761906,6.5373359944829135,4.9523809523809526,-0.8581227207894293,0.7132380293232605,55.1438964833201,1.2884391726352744,33.49817034700316,5.7877603912915365,4.490220820189275,-0.7922678628672513,0.6791234986820466,58.98982476196507,1.3497836088745436,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,22.121535572971776,4.703353651701281,3.4966883742269155,0.03819274004682072,0.5131464395559379,39.37344562383443,0.8682197354640178,19.658609097174086,4.433803006130751,3.492097883087328,-0.05180351489516477,0.5202530178203465,44.6846688968021,1.2961836959440327,0.007,daily,5,linear,0.0,4.703353651701281,0.0,,4.433803006130751,,,,,,,
AR-LRX [linear],N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,22.085852943466993,4.699558803065134,3.488159769274571,0.03974416092349131,0.5127324130526175,39.28316087995928,0.867912051521415,19.622065288771196,4.429680043611637,3.482337869894976,-0.049848294872434806,0.5197692381643799,44.596446888452846,1.2902612796644397,5.905,daily,5,linear,0.2,4.703353651701281,0.0807,-0.02134803877810887,4.433803006130751,,,,,,,
AR-LRX-g [linear],N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,22.11544151870956,4.70270576569591,3.4938895956885605,0.03845769930394882,0.5130757537386436,39.339617770950035,0.868696116837266,19.637659877167525,4.431439932704439,3.488155554236022,-0.050682659237051064,0.5199757398087456,44.64584168144965,1.293816562555587,5.926,daily,5,linear,0.09999999999999999,4.703353651701281,0.0138,-0.028283238175722314,4.433803006130751,False,global,1.0,"{""0"": 0.1}",0.1,0.1,4.731341161974305
AR-LRX-Aug [linear],N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,22.11544151870956,4.70270576569591,3.4938895956885605,0.03845769930394882,0.5130757537386436,39.339617770950035,0.868696116837266,19.637659877167525,4.431439932704439,3.488155554236022,-0.050682659237051064,0.5199757398087456,44.64584168144965,1.293816562555587,10.41,daily,5,linear,0.09999999999999999,4.703353651701281,0.0138,-0.028283238175722314,4.433803006130751,True,global,1.0,"{""0"": 0.1}",0.1,0.1,4.731341161974305
XGBoost,N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,22.548097762658838,4.748483733009816,3.513976276639908,0.019646531556492763,0.5180702327161583,39.508421515890255,0.8808568297522316,19.877701406790553,4.458441589478386,3.49944596756896,-0.06352571050941203,0.5231440568050963,44.775934775204306,1.2772689667062351,6.09,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,22.318606451802413,4.72425723810658,3.501918219919053,0.0296244288028108,0.5154270677485359,39.402252132106504,0.8753519513238462,19.893133880008307,4.460171956327279,3.500961943737221,-0.06435140115180316,0.5233470943721303,44.79178007004501,1.279937258995549,5.516,daily,5,,,,,,,,,,,,,
Naive,N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,36.112,6.009326085344346,4.477460317460317,-0.5700891855747092,0.6556309631765964,51.482848952749436,1.037593235641704,34.789652996845426,5.898275425651589,4.513564668769717,-0.8613666472123493,0.6920910978425946,58.41854125142585,1.4696289793176036,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,42.736761904761906,6.5373359944829135,4.9523809523809526,-0.8581227207894293,0.7132380293232605,55.1438964833201,1.2884391726352744,33.49817034700316,5.7877603912915365,4.490220820189275,-0.7922678628672513,0.6791234986820466,58.98982476196507,1.3497836088745436,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,22.121535572971776,4.703353651701281,3.4966883742269155,0.03819274004682072,0.5131464395559379,39.37344562383443,0.8682197354640178,19.658609097174086,4.433803006130751,3.492097883087328,-0.05180351489516477,0.5202530178203465,44.6846688968021,1.2961836959440327,0.008,daily,5,linear,0.0,4.703353651701281,0.0,,4.433803006130751,,,,,,,
AR-LRX [linear],N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,22.085852943466993,4.699558803065134,3.488159769274571,0.03974416092349131,0.5127324130526175,39.28316087995928,0.867912051521415,19.622065288771196,4.429680043611637,3.482337869894976,-0.049848294872434806,0.5197692381643799,44.596446888452846,1.2902612796644397,5.389,daily,5,linear,0.2,4.703353651701281,0.0807,-0.02134803877810887,4.433803006130751,,,,,,,
AR-LRX-g [linear],N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,22.11544151870956,4.70270576569591,3.4938895956885605,0.03845769930394882,0.5130757537386436,39.339617770950035,0.868696116837266,19.637659877167525,4.431439932704439,3.488155554236022,-0.050682659237051064,0.5199757398087456,44.64584168144965,1.293816562555587,6.209,daily,5,linear,0.09999999999999999,4.703353651701281,0.0138,-0.028283238175722314,4.433803006130751,False,global,1.0,"{""0"": 0.1}",0.1,0.1,4.731341161974305
AR-LRX-Aug [linear],N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,22.11544151870956,4.70270576569591,3.4938895956885605,0.03845769930394882,0.5130757537386436,39.339617770950035,0.868696116837266,19.637659877167525,4.431439932704439,3.488155554236022,-0.050682659237051064,0.5199757398087456,44.64584168144965,1.293816562555587,7.084,daily,5,linear,0.09999999999999999,4.703353651701281,0.0138,-0.028283238175722314,4.433803006130751,True,global,1.0,"{""0"": 0.1}",0.1,0.1,4.731341161974305
XGBoost,N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,22.548097762658838,4.748483733009816,3.513976276639908,0.019646531556492763,0.5180702327161583,39.508421515890255,0.8808568297522316,19.877701406790553,4.458441589478386,3.49944596756896,-0.06352571050941203,0.5231440568050963,44.775934775204306,1.2772689667062351,6.004,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,22.318606451802413,4.72425723810658,3.501918219919053,0.0296244288028108,0.5154270677485359,39.402252132106504,0.8753519513238462,19.893133880008307,4.460171956327279,3.500961943737221,-0.06435140115180316,0.5233470943721303,44.79178007004501,1.279937258995549,5.37,daily,5,,,,,,,,,,,,,
Naive,N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},0,none,42,3.245222929936306,1.801450229658401,0.9968152866242038,-0.9423898790733811,2.8282768605636894,170.12558275058277,1.14360616103027,2.7626582278481013,1.662124612611251,1.1044303797468353,-1.146047749072324,2.3343616781562457,170.49054797798516,1.0397716095374023,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},0,none,42,2.8853503184713376,1.6986318961067868,0.9617834394904459,-0.726992375309601,2.6668520768876554,174.4593489569741,1.0456056110833476,2.6487341772151898,1.6274932187923825,1.0727848101265822,-1.0575509346775886,2.2857238095039683,166.73606125867434,1.0011821716055178,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},0,none,42,1.6750876542176854,1.2942517738901058,0.8495322279728027,-0.0026039431987692208,2.031975285007466,166.9933340045415,0.6374896487402409,1.3115294470067507,1.1452202613500821,0.8518890191874211,-0.018803118394875806,1.6083982337183376,158.08401182796632,0.6219326037169545,0.009,daily,5,linear,0.0,1.2942517738901058,0.0,,1.1452202613500821,,,,,,,
AR-LRX [linear],N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,1.6750876542176854,1.2942517738901058,0.8495322279728027,-0.0026039431987692208,2.031975285007466,166.9933340045415,0.6374896487402409,1.3115294470067507,1.1452202613500821,0.8518890191874211,-0.018803118394875806,1.6083982337183376,158.08401182796632,0.6219326037169545,5.044,daily,5,linear,0.0,1.2942517738901058,0.0,-0.019366057826714966,1.1452202613500821,,,,,,,
AR-LRX-g [linear],N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,1.6750876542176854,1.2942517738901058,0.8495322279728027,-0.0026039431987692208,2.031975285007466,166.9933340045415,0.6374896487402409,1.3115294470067507,1.1452202613500821,0.8518890191874211,-0.018803118394875806,1.6083982337183376,158.08401182796632,0.6219326037169545,5.268,daily,5,linear,0.0,1.2942517738901058,0.0,-0.02229834874280101,1.1452202613500821,False,global,1.0,"{""0"": 0.0}",0.0,0.0,1.2973482705755317
AR-LRX-Aug [linear],N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,1.6750876542176854,1.2942517738901058,0.8495322279728027,-0.0026039431987692208,2.031975285007466,166.9933340045415,0.6374896487402409,1.3115294470067507,1.1452202613500821,0.8518890191874211,-0.018803118394875806,1.6083982337183376,158.08401182796632,0.6219326037169545,5.297,daily,5,linear,0.0,1.2942517738901058,0.0,-0.02229834874280101,1.1452202613500821,True,global,1.0,"{""0"": 0.0}",0.0,0.0,1.2973482705755317
XGBoost,N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.702841166242428,1.3049295637092555,0.8490909117801934,-0.019215480227031234,2.0487394150235314,167.61966890076948,0.6465352974569292,1.3105261975321847,1.1447821616063838,0.8496733883136436,-0.018023788814782504,1.6077829469671878,158.4525885495531,0.6275932928890113,5.069,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.701696261280945,1.3044908053646622,0.8489287558232218,-0.018530210876450903,2.0480505644225198,167.5855195717442,0.6461056560051406,1.3107473565981342,1.1448787519201036,0.8498063368148049,-0.018195586365012728,1.6079186026966787,158.46051813675376,0.6276969099433299,5.118,daily,5,,,,,,,,,,,,,
Naive,N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},0,none,42,3.245222929936306,1.801450229658401,0.9968152866242038,-0.9423898790733811,2.8282768605636894,170.12558275058277,1.14360616103027,2.7626582278481013,1.662124612611251,1.1044303797468353,-1.146047749072324,2.3343616781562457,170.49054797798516,1.0397716095374023,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},0,none,42,2.8853503184713376,1.6986318961067868,0.9617834394904459,-0.726992375309601,2.6668520768876554,174.4593489569741,1.0456056110833476,2.6487341772151898,1.6274932187923825,1.0727848101265822,-1.0575509346775886,2.2857238095039683,166.73606125867434,1.0011821716055178,0.0,daily,5,,,,,,,,,,,,,
