model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
AR-LRX-g [linear],M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.030009093885328,2.007488254980668,1.604507226399023,-0.00751954728136095,0.519543193121465,44.18282874781168,8.974778377032807,5.39158856688948,2.3219794501436657,1.7570176272245002,0.027493542151306616,0.6051288083736097,50.103371144787765,3.901992843556399,5.608,daily,5,linear,0.0,2.007488254980668,0.0,-0.0282830012096158,2.3219794501436657,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.0074882549806676
AR-LRX-Aug [linear],M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.030009093885328,2.007488254980668,1.604507226399023,-0.00751954728136095,0.519543193121465,44.18282874781168,8.974778377032807,5.39158856688948,2.3219794501436657,1.7570176272245002,0.027493542151306616,0.6051288083736097,50.103371144787765,3.901992843556399,5.355,daily,5,linear,0.0,2.007488254980668,0.0,-0.0282830012096158,2.3219794501436657,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.0074882549806676
XGBoost,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.146593883941135,2.0363187088324692,1.6288393891835824,-0.03666624451217926,0.5270045897279672,44.69920984650791,9.582399653500117,5.3194486649593244,2.3063929988099003,1.7637240654222528,0.0405057591677328,0.6010668384359381,50.411534961428096,3.5090514062897897,5.492,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.140244201675784,2.0347590033406373,1.6268042866953591,-0.035078796729226536,0.5266009338811423,44.644810842945375,9.579315412466345,5.302345458345615,2.3026822313001887,1.7609304169235407,0.04359074584195688,0.6000997789207627,50.36678169038535,3.5814321231987667,7.095,daily,5,,,,,,,,,,,,,
Naive,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,8.063918044871794,2.8397038657000477,2.218602564102564,-1.0160140755539473,0.7349227624344821,60.37815381835404,19.092561696684115,8.127574394904459,2.850890105722151,2.2165859872611464,-0.4660092267111404,0.7429677004131198,66.51148449675807,2.7600257404290813,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,7.688206141025641,2.7727614648623566,2.131211538461538,-0.9220844891801485,0.7175978946051728,58.50321369891426,11.658897336905703,8.206476410828024,2.864694819841727,2.2132579617834396,-0.4802411583711663,0.7465653335466087,66.23754139148446,6.085345931316496,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,4.001935488421122,2.000483813586384,1.5815566832610755,-0.0005010255835395938,0.5177304254308,43.629559076413784,8.745514089424283,4.850956322761249,2.2024886657509155,1.6781726449236807,0.1250099498321069,0.573988431155052,48.66748692964677,3.912127464558648,0.02,daily,5,linear,0.0,2.000483813586384,0.0,,2.2024886657509155,,,,,,,
AR-LRX [linear],M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.001935488421122,2.000483813586384,1.5815566832610755,-0.0005010255835395938,0.5177304254308,43.629559076413784,8.745514089424283,4.850956322761249,2.2024886657509155,1.6781726449236807,0.1250099498321069,0.573988431155052,48.66748692964677,3.912127464558648,9.857,daily,5,linear,0.0,2.000483813586384,0.0,-0.015482519887477286,2.2024886657509155,,,,,,,
AR-LRX-g [linear],M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,4.001935488421122,2.000483813586384,1.5815566832610755,-0.0005010255835395938,0.5177304254308,43.629559076413784,8.745514089424283,4.850956322761249,2.2024886657509155,1.6781726449236807,0.1250099498321069,0.573988431155052,48.66748692964677,3.912127464558648,8.39,daily,5,linear,0.0,2.000483813586384,0.0,-0.06144635242463714,2.2024886657509155,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.0004838135863836
AR-LRX-Aug [linear],M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,3.9958420234154177,1.9989602355763403,1.5791147802093735,0.001022366786278428,0.5173361194704319,43.57788781450094,8.660110872434398,4.790005243107228,2.188608060642021,1.6766277303787749,0.1360039857903408,0.5703710201445755,48.733996711756575,3.8762764646584165,8.066,daily,5,linear,0.3,2.000483813586384,0.0762,-0.007022205774310342,2.2024886657509155,True,global,1.0,"{""0"": 0.3}",0.3,0.3,2.0016193996937184
