varian,S1,w*,w=0 (S1 saja),w=1 (gerbang mati),w=w* (AR-LRX),sumbangan gerbang (%),sumbangan koreksi (%),vs kerangka lama (%)
V1_customers_dropped,linear,1.0,2846.796698166396,1655.4976640677407,1655.4976640677407,0.0,-41.847000696114456,0.0
V1_customers_dropped,structural,0.8,1240.6364163535145,1211.5291552411281,1206.4410616400141,-0.41997285654271554,-2.7562752683020175,-27.125172821104737
V1_customers_dropped,struct_linear,0.8,1233.46157861048,1211.1395977188145,1204.7507476041035,-0.5275073267148063,-2.3276631801308243,-27.227275896971204
V2_customers_lagged,linear,0.9,2519.1638451487024,1150.3148517427994,1193.0280407548996,3.7131737408577337,-52.64190365972497,3.7131737408577337
V2_customers_lagged,structural,0.8,1240.6364163535145,1063.0775091059202,1062.7636511852845,-0.029523521845516154,-14.337219416066684,-7.611064086051686
V2_customers_lagged,struct_linear,0.8,1224.3856200377104,1050.322190072532,1054.9722252305323,0.4427246422051835,-13.836604418954238,-8.288393944302902
V3_sales_lagged,linear,0.8,2049.0594271095815,1069.7905282936606,1137.9987792134236,6.3758510769913705,-44.46238287882684,7.477582931782586
V3_sales_lagged,structural,0.8,1240.6364163535145,1008.9233111225948,1011.3754820792274,0.24304830006396994,-18.479300724392093,-4.48127516843689
V3_sales_lagged,struct_linear,0.8,1214.5696588328806,997.3024242933017,1004.694829345863,0.7412400564251787,-17.279768843286693,-5.1122252373683335
