varian,"kerangka lama (S1=linear, tanpa gerbang)",+ gerbang saja (S1=linear),+ S1 struktural saja (tanpa koreksi),AR-LRX penuh (S1=struct_linear + gerbang),total perbaikan (%)
V1_customers_dropped,1651.0536825886081,1689.3900248213802,1240.6364163535145,1199.8318326705407,27.329326397832094
V2_customers_lagged,1153.2846786913465,1196.4418343801133,1240.6364163535145,1045.8661692923995,9.314136516652312
V3_sales_lagged,1061.4973104562596,1140.7991063843774,1240.6364163535145,998.1491945320547,5.967807482901316
