model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,orig_MSE,orig_RMSE,orig_MAE,orig_R2,orig_nRMSE,orig_SMAPE,orig_RMSPE
SeasonalNaive(store x dow x promo median),rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04249867156016976,0.20615205931585975,0.14235140636916543,0.7623307906666678,0.023414625282067468,1.6243560511013106,0.02350881555436937,0.027157076581401977,0.16479404291843192,0.1211029477207522,0.8420785777533428,0.018725960763512208,1.3833889587999044,0.018668301172550698,0.0,1624685.9495689592,1274.631691732541,850.470064322646,0.8335364024980008,0.17642484346513557,12.038068961938212,0.15704658120209283
LR,rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},1,none,42,0.07958532341445253,0.2821087085051657,0.21589682423507944,0.5549277143011266,0.032041735214178774,2.462152550922638,0.03261918834800178,0.07601001674110364,0.27569914171267135,0.2123551497419916,0.5579932945739913,0.03132838553394113,2.4222195132643445,0.03166518363054394,3.403,6346186.478704395,2519.1638451487024,1542.6011187893334,0.3497764709887773,0.3486835373120845,20.936957079629565,0.3035457108816388
XGBoost,rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.035876130445544364,0.18940995339618338,0.12981610269967434,0.7993666332638196,0.02151306709320999,1.480527608681627,0.021867440695918908,0.02009744491037394,0.14176545739486027,0.10707030326304232,0.8831311214866322,0.016109164784017763,1.2216551569669547,0.016114841117607435,361.839,1235296.908208686,1111.4391158352696,761.0996085495674,0.8734327902705933,0.15383696584990544,10.663930093011718,0.1374647352500943
LR+XGB (average),rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.04453200699044337,0.2110260813038127,0.15564061024112683,0.7509595829022468,0.02396821372956204,1.7747417798241036,0.02439348335415441,0.03422981047956674,0.18501300083931058,0.1428433266273611,0.8009498431112925,0.021023491705773778,1.6277339210920554,0.02112138054227488,368.068,2436840.352868556,1561.0382291502524,1041.0907865123693,0.7503239245811404,0.21606706235789624,14.193995711280849,0.18535280990897482
LR-XGB (residual),rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.036800189116039966,0.19183375384962878,0.13098594436068411,0.7941989354151149,0.02178836087181336,1.4932053008057802,0.022131482699556993,0.02036552695220749,0.14270783773923382,0.10766935098056027,0.8815721945823227,0.01621624982811598,1.2274433947032213,0.016200058464123226,376.95,1323224.2581400587,1150.3148517427994,773.3876227518116,0.8644238473470229,0.1592178501214673,10.722709265938171,0.1388295896303685
SeasonalNaive(store x dow x promo median),rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04249867156016976,0.20615205931585975,0.14235140636916543,0.7623307906666678,0.023414625282067468,1.6243560511013106,0.02350881555436937,0.027157076581401977,0.16479404291843192,0.1211029477207522,0.8420785777533428,0.018725960763512208,1.3833889587999044,0.018668301172550698,0.0,1624685.9495689592,1274.631691732541,850.470064322646,0.8335364024980008,0.17642484346513557,12.038068961938212,0.15704658120209283
LR,rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},1,none,42,0.06304169555772242,0.2510810537609766,0.1886270441556186,0.6474461580046461,0.02851763309447388,2.154476105495368,0.02934154412774771,0.06000022291396567,0.24494942929912222,0.18629826637518573,0.6510920271816398,0.02783421852433376,2.1289445797210678,0.02834143756767219,3.514,4198644.535826647,2049.0594271095815,1325.6565675388879,0.5698113384612922,0.2836152521731146,18.41125240485756,0.27533532749142425
XGBoost,rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.03417683063849498,0.18486976669670727,0.12123672022821351,0.8088697830502761,0.02099739545436412,1.3831941557922345,0.021465644949825297,0.017265880186106728,0.13139969629381465,0.09797454429583612,0.8995969854429159,0.014931277329929393,1.1187093921815092,0.015049462186499855,5779.184,1035980.037231697,1017.8310455236159,695.0580588511715,0.8938545852608645,0.1408804473050392,9.760824947848738,0.13263043467160746
LR+XGB (average),rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.03786668425671705,0.19459363878790348,0.1393602205380746,0.7882346770621522,0.022101826921416642,1.5916194136788056,0.02276376161111112,0.027871009003866194,0.16694612605228729,0.12630690921636922,0.8379269812733019,0.018970507372180215,1.4419835366618474,0.019227184634900685,545.221,1827588.0564929787,1351.8831519376884,907.2515650135978,0.8127472680389575,0.18711740419663675,12.559700125513432,0.17399739714847146
LR-XGB (residual),rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.03520862820300252,0.18763962322228886,0.12283121814788771,0.8030995671271414,0.021311994070777714,1.4009284945370233,0.021784034389544543,0.017480510874993884,0.1322138830645023,0.09855082550192487,0.8983488841038324,0.015023795416457642,1.1247269120606622,0.015129196090014395,491.796,1121108.9260106895,1058.824313099529,704.8383709499276,0.8851323696959067,0.1465544242366613,9.817432903748594,0.13412717020402157
