category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,features
rossmann,V0_customers_contemporaneous,n/a,16,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"Assortment_b, Assortment_c, Customers, DayOfWeek, IsPromo2Active, Promo, Promo2, Promo2DurationWeeks, SchoolHoliday, StateHoliday_a, StateHoliday_b, StateHoliday_c, Store, StoreType_b, StoreType_c, StoreType_d"
rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"Assortment_b, Assortment_c, DayOfWeek, IsPromo2Active, Promo, Promo2, Promo2DurationWeeks, SchoolHoliday, StateHoliday_a, StateHoliday_b, StateHoliday_c, Store, StoreType_b, StoreType_c, StoreType_d"
rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"Assortment_b, Assortment_c, Customers_lag1, Customers_roll7, DayOfWeek, IsPromo2Active, Promo, Promo2, Promo2DurationWeeks, SchoolHoliday, StateHoliday_a, StateHoliday_b, StateHoliday_c, Store, StoreType_b, StoreType_c, StoreType_d"
rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"Assortment_b, Assortment_c, DayOfWeek, IsPromo2Active, Promo, Promo2, Promo2DurationWeeks, Sales_lag1, Sales_roll7, SchoolHoliday, StateHoliday_a, StateHoliday_b, StateHoliday_c, Store, StoreType_b, StoreType_c, StoreType_d"
