group,n_configs,n_duplicate_configs,gate_closed,mean_w,resid_val_r2_negative,resid_val_r2_median,resid_test_r2_negative,resid_test_r2_median,regime_agree_val_test,ungated_worse_than_S1,ungated_mean_pct,ungated_worst_pct,gated_worse_than_S1,gated_mean_pct,gated_worst_pct,gated_aug_worse_than_S1,gated_aug_mean_pct,gated_aug_worst_pct,AR-LRX_beats_Naive,AR-LRX_vs_Naive_geomean_pct,AR-LRX_beats_XGBoost,AR-LRX_vs_XGBoost_geomean_pct,"AR-LRX_beats_LR-XGB (residual, tanpa gerbang)","AR-LRX_vs_LR-XGB (residual, tanpa gerbang)_geomean_pct",distinct_gate_closed,distinct_gated_worse_than_S1,distinct_ungated_worse_than_S1
origin0,32,11,13,0.31875,26,-0.0928584948401181,29,-0.1387663774116418,25,20,1.5289096288885,12.359008516083758,13,0.9702765928937075,12.359008516083758,9,0.5213486927059623,4.693961773374156,28,-15.540978489406431,22,-1.0471973071967677,15,-0.5082212344342585,8,9,14
origin1,32,11,8,0.4375,24,-0.05672061302141815,29,-0.21181532970036437,23,22,3.7054575908781295,18.794808599734548,16,2.016316962695176,14.400168172387762,6,0.946079487035212,21.306202978230093,28,-17.886042949055348,25,-2.512334761908619,23,-1.561299593510812,5,10,14
origin2,32,12,2,0.403125,28,-0.07655348392096314,27,-0.1776050466057614,23,19,3.631173958030863,46.1486428714208,16,1.974742239751281,22.17384546731256,14,0.5461629450007307,9.678798077794104,26,-14.83304723892248,21,-1.4828333484521172,19,-1.1837733754188395,2,9,12
origin3,32,12,15,0.2,27,-0.17365959193007413,26,-0.0791869859909126,25,12,0.940471135552943,17.645305034437374,6,-0.2011064548963201,4.026201808305951,7,0.6181495314243809,13.682293989796012,28,-18.937320096705466,13,-1.1605912348325975,14,-1.0021183930747912,10,4,8
