model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,orig_MSE,orig_RMSE,orig_MAE,orig_R2,orig_nRMSE,orig_SMAPE,orig_RMSPE,origin_origin,origin_train_end,origin_val_start,origin_test_start,origin_test_end,group,config,resid_test_r2,cross_fit_folds_protocol,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
AR-LRX [struct_linear],rossmann,V3_sales_lagged,,17,0,683787,77219,37472,2013-01-08,2015-02-13,2015-02-14,2015-05-08,2015-05-09,2015-06-19,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.0167853377464018,0.1295582407506442,0.0917654039168498,0.9032381631400768,0.0147368584835459,1.048532222559495,0.0150370655647083,0.0150570513088497,0.1227071770877718,0.0931151522647935,0.9068264516285908,0.0139230317820728,1.0638313312057277,0.0140404402872691,372.852,829443.1499016951,910.7376954434768,652.8652056732951,0.910606117279326,0.1250934138357419,9.283625451316512,0.1216189356932622,1,2015-02-13,2015-02-14,2015-05-09,2015-06-19,origin1,V3_sales_lagged,0.2500276802132971,5,struct_linear,1.0,0.1614719004436947,19.7642,0.3318174124149441,0.1558914311654092,5.0,,,,,,,
AR-LRX-Aug [structural],rossmann,V3_sales_lagged,,17,0,683787,77219,37472,2013-01-08,2015-02-13,2015-02-14,2015-05-08,2015-05-09,2015-06-19,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.0148988113582505,0.1220606871939142,0.0862994227807602,0.9141133544147574,0.0138840344169472,0.9861844917664264,0.0142195781712567,0.0140504614055346,0.1185346422170946,0.0900174359566899,0.9130552643704044,0.0134495930069742,1.0287640390260433,0.0135657110382134,358.195,761420.2827071523,872.5939964881447,628.67290120891,0.9179373348715548,0.119854226369891,8.976623710730488,0.1169646841691588,1,2015-02-13,2015-02-14,2015-05-09,2015-06-19,origin1,V3_sales_lagged,0.2898173307328123,5,structural,1.0,0.1628129059912144,25.0301,0.4141547370516921,0.1557576501936402,5.0,True,global,1.0,"{""0"": 1.0}",1.0,1.0,0.1220606871939142
AR-LRX-Aug [struct_linear],rossmann,V3_sales_lagged,,17,0,683787,77219,37472,2013-01-08,2015-02-13,2015-02-14,2015-05-08,2015-05-09,2015-06-19,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.014937293012894,0.1222182188255663,0.0863052441658808,0.91389152059497,0.0139019531641368,0.986259414010258,0.0142401725459613,0.0140668629687648,0.1186038067212213,0.0901287341005283,0.9129537709362884,0.0134574407923442,1.0300411577488071,0.0135815065691173,375.357,764115.1729792177,874.1368159385679,629.6781514118516,0.917646890969577,0.1200661387052991,8.987633205261137,0.1178354886674086,1,2015-02-13,2015-02-14,2015-05-09,2015-06-19,origin1,V3_sales_lagged,0.2993476852532479,5,struct_linear,1.0,0.1614719004436947,24.3099,0.4053834812462324,0.1558914311654092,5.0,True,global,1.0,"{""0"": 1.0}",1.0,1.0,0.1222182188255663
"LR-XGB (residual, tanpa gerbang)",rossmann,V3_sales_lagged,,17,0,683787,77219,37472,2013-01-08,2015-02-13,2015-02-14,2015-05-08,2015-05-09,2015-06-19,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.0186609072824644,0.1366049313987767,0.096682474676116,0.8924261344392046,0.0155383982563707,1.1045446718848464,0.0158356881444711,0.0171282333888677,0.130874876843754,0.0989747602963014,0.8940099060938664,0.0148497839573562,1.1299790479243843,0.0149724899685419,393.768,1016584.7651989732,1008.2582829805928,700.4002023811355,0.8904367836582994,0.1384882510927468,9.863060792780026,0.131247844621303,1,2015-02-13,2015-02-14,2015-05-09,2015-06-19,origin1,V3_sales_lagged,,5,,,,,,,5.0,,,,,,,
XGBoost,rossmann,V3_sales_lagged,,17,0,683787,77219,37472,2013-01-08,2015-02-13,2015-02-14,2015-05-08,2015-05-09,2015-06-19,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.0182839419205747,0.1352181271892742,0.0957246256210725,0.8945992131940146,0.0153806534671437,1.0941748949257268,0.0157020946120496,0.0169547691696825,0.1302104802605479,0.0983871263059659,0.8950833086137521,0.0147743978637028,1.1238612467544098,0.0149208710912975,340.356,932980.3379617608,965.9090733406332,690.0478119731655,0.8994473160428977,0.1326714201505199,9.804924404473375,0.1306864634370214,1,2015-02-13,2015-02-14,2015-05-09,2015-06-19,origin1,V3_sales_lagged,,5,,,,,,,,,,,,,,
XGBoost (grid Zhao),rossmann,V3_sales_lagged,,17,0,683787,77219,37472,2013-01-08,2015-02-13,2015-02-14,2015-05-08,2015-05-09,2015-06-19,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 10, ""n_estimators"": 1000, ""subsample"": 0.9}",8,none,42,0.017987736338068,0.1341183668930846,0.0947619211634254,0.8963067389337129,0.0152555590558823,1.0832221991310442,0.0155862241459074,0.0166934709727168,0.1292032157986667,0.0974886963754893,0.8967002307916048,0.0146601080931404,1.1137367202408552,0.0148067695541702,473.367,916034.7912760472,957.0970647097646,683.042535596856,0.901273635560082,0.1314610560161479,9.71559307287003,0.1295716920940979,1,2015-02-13,2015-02-14,2015-05-09,2015-06-19,origin1,V3_sales_lagged,,5,,,,,,,,,,,,,,
SeasonalNaive(store x dow x promo median),rossmann,V3_sales_lagged,,17,0,643864,80098,37044,2013-01-08,2015-01-02,2015-01-03,2015-03-27,2015-03-28,2015-05-08,{},0,none,42,0.0190339519682632,0.1379635892845039,0.0967744099734241,0.8817577919872694,0.0157763578379395,1.1133739942493048,0.0163340702639558,0.0368704587760377,0.1920168189926021,0.1381009520157792,0.7962491929841286,0.0216865791781363,1.5673829213169412,0.0214994112645081,0.0,2464972.8839778374,1570.0232112863291,1029.4535392904947,0.7794237408264441,0.2051702904550081,13.698320767073524,0.1743579476205464,2,2015-01-02,2015-01-03,2015-03-28,2015-05-08,origin2,V3_sales_lagged,,5,,,,,,,,,,,,,,
S1 [structural],rossmann,V3_sales_lagged,,17,0,643864,80098,37044,2013-01-08,2015-01-02,2015-01-03,2015-03-27,2015-03-28,2015-05-08,{},0,none,42,0.0192886363561746,0.138883535223491,0.0981004783350084,0.8801756484354087,0.0158815551323871,1.1281461649668014,0.016463098464307,0.0347758177505128,0.1864827545659728,0.135008270064386,0.8078244435648622,0.0210615561879907,1.532511939919881,0.0209172605144312,3.718,2320337.8391018086,1523.2655182540595,1005.865195070676,0.7923662998913009,0.1990600053385371,13.399244747166891,0.170909182281903,2,2015-01-02,2015-01-03,2015-03-28,2015-05-08,origin2,V3_sales_lagged,,5,structural,0.0,0.138883535223491,0.0,,0.1864827545659728,,,,,,,,
AR-LRX [struct_linear],rossmann,V3_sales_lagged,,17,0,643864,80098,37044,2013-01-08,2015-01-02,2015-01-03,2015-03-27,2015-03-28,2015-05-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.0171701530140815,0.1310349305112248,0.0926298727591475,0.8933360340676176,0.0149840545881391,1.0632596135860335,0.0155472902881776,0.0212272967648478,0.1456959051066563,0.108624141518106,0.8826952799021306,0.0164550470037079,1.2311055645308822,0.0163815558684286,340.636,1455146.677496585,1206.2946064277105,821.0310401618035,0.8697872853866608,0.1576383157878973,10.815472265272874,0.1360445851323937,2,2015-01-02,2015-01-03,2015-03-28,2015-05-08,origin2,V3_sales_lagged,0.3655793026176593,5,struct_linear,0.6,0.1408673672658032,6.9799,0.0685170372779417,0.1824075289728118,5.0,,,,,,,
AR-LRX-Aug [structural],rossmann,V3_sales_lagged,,17,0,643864,80098,37044,2013-01-08,2015-01-02,2015-01-03,2015-03-27,2015-03-28,2015-05-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 6, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.0151582939219534,0.1231190233958725,0.0856627248328705,0.90583405138217,0.0140788579060917,0.9852847090026138,0.0146959786480501,0.0170242045911967,0.1304768354582406,0.098555010432795,0.9059220975434684,0.014736189454252,1.1146187450642204,0.014655673689517,329.424,1262918.467643589,1123.796452941363,759.8524583152437,0.8869886833057239,0.1468574751027918,9.822330398551443,0.1240283359242512,2,2015-01-02,2015-01-03,2015-03-28,2015-05-08,origin2,V3_sales_lagged,0.4699987685256124,5,structural,0.8000000000000002,0.138883535223491,11.3509,0.1880173467749646,0.1864827545659728,5.0,True,global,1.0,"{""0"": 0.8}",0.8,0.8,0.1231190233958725
