granularity,category,feature_set,reference,DM,p,identical_predictions,win,sig_win,sig_loss
daily,R06,A_lag1,S1 [linear],,,True,False,False,False
daily,R06,A_lag1,XGBoost,-0.10432312298256133,0.9169791101856557,False,True,False,False
daily,R06,A_lag1,"LR-XGB (residual, tanpa gerbang)",0.08849975985105152,0.9295355346938772,False,False,False,False
daily,R06,B_rich,Naive,-3.7657716544785496,0.00019797610141791822,False,True,True,False
daily,R06,B_rich,S1 [linear],,,True,False,False,False
daily,R06,B_rich,XGBoost,-0.10432312298256133,0.9169791101856557,False,True,False,False
daily,R06,B_rich,"LR-XGB (residual, tanpa gerbang)",0.08849975985105152,0.9295355346938772,False,False,False,False
weekly,M01AB,A_lag1,Naive,-2.3765744227663115,0.021890393924710372,False,True,True,False
weekly,M01AB,A_lag1,S1 [linear],,,True,False,False,False
weekly,M01AB,A_lag1,XGBoost,-0.5689769153533373,0.5722649113778564,False,True,False,False
weekly,M01AB,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.5662957141803867,0.5740700283471183,False,True,False,False
weekly,M01AB,B_rich,Naive,-2.3453031502673056,0.023585324175967814,False,True,True,False
weekly,M01AB,B_rich,S1 [linear],,,True,False,False,False
weekly,M01AB,B_rich,XGBoost,-1.1820804826398779,0.24352281887745764,False,True,False,False
weekly,M01AB,B_rich,"LR-XGB (residual, tanpa gerbang)",-2.004469763116635,0.051198069000287116,False,True,False,False
weekly,M01AE,A_lag1,Naive,-0.8533787324000333,0.39796911017281067,False,True,False,False
weekly,M01AE,A_lag1,S1 [linear],-0.739761729979749,0.46328655835947874,False,True,False,False
weekly,M01AE,A_lag1,XGBoost,-2.0312083834314465,0.048165650454309095,False,True,True,False
weekly,M01AE,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.33447142203035896,0.739577807701,False,True,False,False
weekly,M01AE,B_rich,Naive,-0.8533787324000333,0.39796911017281067,False,True,False,False
weekly,M01AE,B_rich,S1 [linear],-0.739761729979749,0.46328655835947874,False,True,False,False
weekly,M01AE,B_rich,XGBoost,-2.0312083834314465,0.048165650454309095,False,True,True,False
weekly,M01AE,B_rich,"LR-XGB (residual, tanpa gerbang)",-0.33447142203035896,0.739577807701,False,True,False,False
weekly,N02BA,A_lag1,Naive,1.2003952582373343,0.2362670623084444,False,False,False,False
weekly,N02BA,A_lag1,S1 [linear],-0.1730038715774525,0.8634242123968769,False,True,False,False
weekly,N02BA,A_lag1,XGBoost,-1.554427729136632,0.12708804540264573,False,True,False,False
weekly,N02BA,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.13280424071972835,0.8949402891297549,False,True,False,False
weekly,N02BA,B_rich,Naive,1.2003952582373343,0.2362670623084444,False,False,False,False
weekly,N02BA,B_rich,S1 [linear],-0.1730038715774525,0.8634242123968769,False,True,False,False
weekly,N02BA,B_rich,XGBoost,-1.554427729136632,0.12708804540264573,False,True,False,False
weekly,N02BA,B_rich,"LR-XGB (residual, tanpa gerbang)",-0.13280424071972835,0.8949402891297549,False,True,False,False
weekly,N02BE,A_lag1,Naive,-0.7096973775674145,0.4815532437580883,False,True,False,False
weekly,N02BE,A_lag1,S1 [linear],,,True,False,False,False
weekly,N02BE,A_lag1,XGBoost,1.244340787924324,0.21981651359939036,False,False,False,False
weekly,N02BE,A_lag1,"LR-XGB (residual, tanpa gerbang)",1.1231994580017237,0.26730954601172274,False,False,False,False
weekly,N02BE,B_rich,Naive,-0.7096973775674145,0.4815532437580883,False,True,False,False
weekly,N02BE,B_rich,S1 [linear],,,True,False,False,False
weekly,N02BE,B_rich,XGBoost,1.244340787924324,0.21981651359939036,False,False,False,False
