group,best_model,rank_AR-LRX-Aug_structural,RMSE | SeasonalNaive(store x dow x promo median),AugStruct vs SeasonalNaive(store x dow x promo median) (%),RMSE | S1 [structural],AugStruct vs S1 [structural] (%),RMSE | AR-LRX [struct_linear],AugStruct vs AR-LRX [struct_linear] (%),RMSE | AR-LRX-Aug [structural],RMSE | AR-LRX-Aug [struct_linear],AugStruct vs AR-LRX-Aug [struct_linear] (%),"RMSE | LR-XGB (residual, tanpa gerbang)","AugStruct vs LR-XGB (residual, tanpa gerbang) (%)",RMSE | XGBoost,AugStruct vs XGBoost (%),RMSE | LightGBM (Zeng),AugStruct vs LightGBM (Zeng) (%),RMSE | XGBoost (grid Zhao),AugStruct vs XGBoost (grid Zhao) (%),w* | AR-LRX-Aug [structural],resid_val_r2 | AR-LRX-Aug [structural],resid_test_r2 | AR-LRX-Aug [structural],w* | AR-LRX-Aug [struct_linear],resid_val_r2 | AR-LRX-Aug [struct_linear],resid_test_r2 | AR-LRX-Aug [struct_linear],w* | AR-LRX [struct_linear],resid_val_r2 | AR-LRX [struct_linear],resid_test_r2 | AR-LRX [struct_linear]
origin0,AR-LRX-Aug [struct_linear],2,1147.790889267013,-19.80558597787393,1126.4813673834942,-18.288557227980107,975.4723054217454,-5.639127555849132,920.464177847031,916.6929067826404,0.4113996122896646,997.1915897317416,-7.694350080243995,969.688202684628,-5.076273455871472,973.6507448415562,-5.4625919279895685,966.3183182467684,-4.745241762872965,1.0,0.3943339858488572,0.330016201190602,1.0,0.3825438972571527,0.3477844000539059,1.0,0.3006115258478896,0.2820269521184896
origin1,AR-LRX-Aug [structural],1,1175.9032611012906,-25.79372595064342,1137.8634301928737,-23.312941313156045,910.7376954434768,-4.188220071066484,872.5939964881447,874.1368159385679,-0.17649633584722046,1008.2582829805928,-13.455310884369831,965.9090733406332,-9.660855191033125,976.5280665424992,-10.643224052161049,957.0970647097646,-8.829101178702814,1.0,0.4141547370516921,0.2898173307328123,1.0,0.4053834812462324,0.2993476852532479,1.0,0.3318174124149441,0.2500276802132971
origin2,AR-LRX-Aug [struct_linear],2,1570.0232112863291,-28.421666325516924,1523.2655182540595,-26.22451966027308,1206.2946064277105,-6.838972258249198,1123.796452941363,1098.0953547026031,2.3405160698198646,1223.801384131967,-8.171663513972637,1142.9868865016058,-1.6789723300308257,1164.2275270380958,-3.4727811495398386,1140.4273998803053,-1.4583082571225314,0.8000000000000002,0.1880173467749646,0.4699987685256124,0.8000000000000002,0.2054676502121992,0.4554750509799454,0.6,0.0685170372779417,0.3655793026176593
origin3,AR-LRX-Aug [struct_linear],2,884.6533563426451,-11.72291960259485,883.0202875977631,-11.55965886791951,803.9971187578915,-2.867045615357855,780.9461546169399,779.2961248161893,0.21173335118789272,943.6302280493982,-17.240235485964305,855.494156986589,-8.714028232786363,862.0133885135795,-9.404405427673057,867.790237227017,-10.007497075282068,0.9000000000000001,0.2260105113582828,0.194201750474331,0.9000000000000001,0.1890077745048143,0.2280633839521465,0.7,0.0442683831786131,0.1808701264687486
