model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,orig_MSE,orig_RMSE,orig_MAE,orig_R2,orig_nRMSE,orig_SMAPE,orig_RMSPE,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds
S1 [linear],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.07958532341445253,0.2821087085051657,0.21589682423507944,0.5549277143011266,0.032041735214178774,2.462152550922638,0.03261918834800178,0.07601001674110364,0.27569914171267135,0.2123551497419916,0.5579932945739913,0.03132838553394113,2.4222195132643445,0.03166518363054394,4.039,6346186.478704395,2519.1638451487024,1542.6011187893334,0.3497764709887773,0.3486835373120845,20.936957079629565,0.3035457108816388,linear,0.0,0.2821087085051657,0.0,,0.27569914171267135,
AR-LRX [linear],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.03641006517318424,0.1908142163812336,0.13190448420268427,0.7963806612346913,0.021672562427389748,1.5032073655500138,0.02200919319284559,0.021389075943886112,0.1462500459619966,0.11079465814336446,0.8756201432994641,0.016618759840134306,1.262286090118191,0.016595546439105414,356.435,1431473.0630548503,1196.4418343801133,801.0526746527528,0.853332789720662,0.16560239692356793,11.03267880177113,0.14241493073861947,linear,0.9,0.2821087085051657,32.3615,0.5336476374746978,0.27569914171267135,5.0
S1 [structural],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04086856223602703,0.2021597443509143,0.1397229529330875,0.7714470001850613,0.022961180580993865,1.5939818702559667,0.02309608242933547,0.02583739651608269,0.1607401521589509,0.11826742870241104,0.8497526641816482,0.018265306980418963,1.3510075626849907,0.018246787375316844,3.838,1539178.7175824912,1240.6364163535145,830.9996999165927,0.8422973827063185,0.17171947549397937,11.759787651618328,0.15478134901094792,structural,0.0,0.2021597443509143,0.0,,0.1607401521589509,
AR-LRX [structural],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.03432916759194088,0.18528132013762444,0.1271100327575976,0.8080178551676251,0.02104413944341085,1.4507332475502661,0.02134430002000002,0.01838851023321862,0.1356042412066032,0.10184953787774408,0.8930687667973878,0.015409050322635653,1.1623178919113715,0.015402145479948554,366.084,1129759.0174810262,1062.9012265874126,722.9528023824136,0.8842460905074545,0.1471187196551622,10.14679344227479,0.13070633828028733,structural,0.7,0.2021597443509143,8.3491,0.07512880995151983,0.1607401521589509,5.0
S1 [struct_linear],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04046444935410845,0.20115777229356177,0.1399138920878283,0.7737069576284609,0.02284737720525331,1.596380336111403,0.023008362236535015,0.025581859144586865,0.1599432997802248,0.11834602167866587,0.8512386424320254,0.01817475864436217,1.3524926775500414,0.01817275010061697,5.793,1499120.1465551285,1224.3856200377104,829.4854801022551,0.8464017413645399,0.1694701636223261,11.769326476725727,0.15341742925068913,struct_linear,0.0,0.20115777229356177,0.0,,0.1599432997802248,
AR-LRX [struct_linear],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.03434320911335458,0.18531920870043284,0.12718808088707018,0.8079393294827103,0.02104844280328792,1.4518601119995538,0.021350085107132873,0.01785621268928811,0.13362714054146377,0.10046065090335377,0.8961641362471863,0.015184387411129562,1.1464574914147196,0.015179028274640249,389.236,1093836.044070358,1045.8661692923995,712.930015863504,0.8879267202245361,0.1447608563318306,10.009513448934388,0.12909303698282118,struct_linear,0.8,0.20115777229356177,7.8737,0.08401177360413814,0.1599432997802248,5.0
XGBoost,rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.035876130445544364,0.18940995339618338,0.12981610269967434,0.7993666332638196,0.02151306709320999,1.480527608681627,0.021867440695918908,0.02009744491037394,0.14176545739486027,0.10707030326304232,0.8831311214866322,0.016109164784017763,1.2216551569669547,0.016114841117607435,341.296,1235296.908208686,1111.4391158352696,761.0996085495674,0.8734327902705933,0.15383696584990544,10.663930093011718,0.1374647352500943,,,,,,,
"LR-XGB (residual, tanpa gerbang)",rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.036748277038062,0.19169840124023466,0.131228645288565,0.7944892480784274,0.02177298760491304,1.4960629450862641,0.022104415501887832,0.020544952021115854,0.14333510393869275,0.1082174563916907,0.8805288178409499,0.01628752766092672,1.2337337573563982,0.016270912133223844,365.785,1330065.5501042025,1153.2846786913465,776.8811080024552,0.8637228958356155,0.15962891102471832,10.777194867012557,0.13919308128272634,,,,,,,5.0
SeasonalNaive(store x dow x promo median),rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04249867156016976,0.20615205931585975,0.14235140636916543,0.7623307906666678,0.023414625282067468,1.6243560511013106,0.02350881555436937,0.027157076581401977,0.16479404291843192,0.1211029477207522,0.8420785777533428,0.018725960763512208,1.3833889587999044,0.018668301172550698,0.0,1624685.9495689592,1274.631691732541,850.470064322646,0.8335364024980008,0.17642484346513557,12.038068961938212,0.15704658120209283,,,,,,,
S1 [linear],rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.06304169555772242,0.2510810537609766,0.1886270441556186,0.6474461580046461,0.02851763309447388,2.154476105495368,0.02934154412774771,0.06000022291396567,0.24494942929912222,0.18629826637518573,0.6510920271816398,0.02783421852433376,2.1289445797210678,0.02834143756767219,3.769,4198644.535826647,2049.0594271095815,1325.6565675388879,0.5698113384612922,0.2836152521731146,18.41125240485756,0.27533532749142425,linear,0.0,0.2510810537609766,0.0,,0.24494942929912222,
AR-LRX [linear],rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.034261239434211874,0.18509791850318544,0.12482575333517008,0.8083977360191023,0.02102330879752374,1.4242035650111322,0.021548897808337956,0.019378790488614857,0.1392077242419215,0.10413414820141499,0.8873101769180171,0.015818523145416947,1.1880684066091838,0.01595048926437295,317.235,1301422.6011273942,1140.7991063843774,749.8536399722079,0.8666576219782344,0.15790075287980704,10.370391859933065,0.14238521750689193,linear,0.8,0.2510810537609766,26.2796,0.436096186154476,0.24494942929912222,5.0
S1 [structural],rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04086856223602703,0.2021597443509143,0.1397229529330875,0.7714470001850613,0.022961180580993865,1.5939818702559667,0.02309608242933547,0.02583739651608269,0.1607401521589509,0.11826742870241104,0.8497526641816482,0.018265306980418963,1.3510075626849907,0.018246787375316844,3.886,1539178.7175824912,1240.6364163535145,830.9996999165927,0.8422973827063185,0.17171947549397937,11.759787651618328,0.15478134901094792,structural,0.0,0.2021597443509143,0.0,,0.1607401521589509,
AR-LRX [structural],rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.033218705399069355,0.1822599939621127,0.12378383032180562,0.8142279944892901,0.020700979057386677,1.4133665572370202,0.021034215323907184,0.017080290375267555,0.13069158494435498,0.0979578935642552,0.9006762108446029,0.01485081285978624,1.118455376025434,0.0148972289976494,300.662,1032536.2725962171,1016.137920066079,693.4090635889283,0.8942074297292519,0.14064609773115816,9.761016728230977,0.12833092547507927,structural,0.7,0.2021597443509143,9.8436,0.1027161851631726,0.1607401521589509,5.0
S1 [struct_linear],rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.03946480671203084,0.19865751108888594,0.1387929912128889,0.7792973506369129,0.022563399061115163,1.5839424716513135,0.022762265995572996,0.025427613164763923,0.1594603811759019,0.11806851947744015,0.8521355999685428,0.01811988339112867,1.349764171752451,0.01813417631567919,4.957,1475179.45615742,1214.5696588328806,826.8603831701579,0.8488546790854217,0.1681115127820445,11.74229874551284,0.15313385191549078,struct_linear,0.0,0.19865751108888594,0.0,,0.1594603811759019,
AR-LRX [struct_linear],rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.03296736572455753,0.18156917614109927,0.12317100950927216,0.8156335843470989,0.02062251639021331,1.4071437440906447,0.020978477152112915,0.01664409540515065,0.12901199713650918,0.09690152313304028,0.9032127331337831,0.014659957081072433,1.106473397747681,0.014709869912742465,324.675,996301.8145449896,998.1491945320547,685.6976843890311,0.8979199738319094,0.13815623488916046,9.656889603093179,0.12670344392127716,struct_linear,0.8,0.19865751108888594,8.6019,0.09715667343381551,0.1594603811759019,5.0
XGBoost,rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.03417683063849498,0.18486976669670727,0.12123672022821351,0.8088697830502761,0.02099739545436412,1.3831941557922345,0.021465644949825297,0.017265880186106728,0.13139969629381465,0.09797454429583612,0.8995969854429159,0.014931277329929393,1.1187093921815092,0.015049462186499855,333.606,1035980.037231697,1017.8310455236159,695.0580588511715,0.8938545852608645,0.1408804473050392,9.760824947848738,0.13263043467160746,,,,,,,
"LR-XGB (residual, tanpa gerbang)",rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.035544329417881985,0.18853203817357406,0.12338420530431024,0.8012221945085719,0.02141335401716778,1.4072222625409545,0.021857295359197802,0.01753718314022642,0.13242803003981604,0.09868736544393981,0.8980193285752528,0.01504812947481517,1.126227310574485,0.015147832438750815,378.089,1126776.5401058728,1061.4973104562596,705.9013824261966,0.8845516719728868,0.1469244002409476,9.830960439969946,0.13422904252316972,,,,,,,5.0
