group,best_model,rank_AR-LRX-Aug_structural,RMSE | AR-LRX [struct_linear],AugStruct vs AR-LRX [struct_linear] (%),RMSE | AR-LRX-Aug [structural],RMSE | AR-LRX-Aug [struct_linear],AugStruct vs AR-LRX-Aug [struct_linear] (%),"RMSE | LR-XGB (residual, tanpa gerbang)","AugStruct vs LR-XGB (residual, tanpa gerbang) (%)",RMSE | XGBoost,AugStruct vs XGBoost (%),RMSE | XGBoost (grid Zhao),AugStruct vs XGBoost (grid Zhao) (%),RMSE | LightGBM (Zeng),AugStruct vs LightGBM (Zeng) (%),w* | AR-LRX-Aug [structural],resid_val_r2 | AR-LRX-Aug [structural],resid_test_r2 | AR-LRX-Aug [structural],w* | AR-LRX-Aug [struct_linear],resid_val_r2 | AR-LRX-Aug [struct_linear],resid_test_r2 | AR-LRX-Aug [struct_linear],w* | AR-LRX [struct_linear],resid_val_r2 | AR-LRX [struct_linear],resid_test_r2 | AR-LRX [struct_linear]
seed1,AR-LRX-Aug [struct_linear],2,1010.8201790765992,-5.751069660646724,952.68720643403,947.1883177735812,0.5805486150182171,1065.3142337141371,-10.5721883474176,1016.046033418003,-6.235822482455089,1015.36527343172,-6.172957519597977,1014.4956302791868,-6.092527360433008,0.9000000000000002,0.2343942327243278,0.3733008339254435,0.9000000000000002,0.2198115647107981,0.378977975506682,0.7,0.0686033769810835,0.266637478068235
seed2,AR-LRX-Aug [struct_linear],2,1011.1411894735114,-5.635469785531722,954.1586332516656,948.2580077754212,0.6222594934987224,1063.4245635010875,-10.274911263069598,1016.288132479002,-6.113374469480981,1017.688278303582,-6.242544638306735,1015.3123827278264,-6.023146227357124,0.9000000000000002,0.2332120857279662,0.3778236491524432,0.9000000000000002,0.2156922268402371,0.3779084274779748,0.7,0.0826873172594002,0.2692805699897876
seed3,AR-LRX-Aug [struct_linear],2,1008.8324805112284,-5.573455931230409,952.6056467899964,949.6585495939636,0.3103322975708256,1064.2562072846845,-10.490947549138607,1015.7949043139422,-6.220670851526188,1012.1675300805206,-5.884587434432509,1016.9925045844816,-6.331104457922443,0.9000000000000002,0.2314184503107973,0.3779735559316332,0.9000000000000002,0.2105603244763846,0.3763135493670511,0.7,0.0691867089042665,0.2727425855227484
seed4,AR-LRX-Aug [structural],1,996.0754862368032,-5.249880686553798,943.7827116613604,948.5918050857392,-0.5069718501251597,1061.499447502109,-11.089665295423035,1017.9492591310236,-7.285878623554954,1022.2153799323484,-7.672812384820382,1015.2030646261712,-7.035080512794744,0.9000000000000002,0.2325090591100264,0.3888760865472171,0.9000000000000002,0.2097397957033828,0.3789395666984014,0.8,0.0947295219207843,0.2987672379423076
seed42,AR-LRX-Aug [structural],1,998.1491945320548,-4.332481114659403,954.9045691828286,961.3417085650144,-0.6695995112699804,1061.4973104562596,-10.041734465404783,1017.831045523616,-6.182408820946838,1014.2690309403868,-5.852930528946343,1009.9881415031264,-5.453883076123944,0.9000000000000002,0.2384941907909332,,0.8000000000000002,0.1918251506777801,,0.8,0.0971566734338155,
