granularity,category,feature_set,model,gate_w,resid_val_r2,gate_val_gain_pct,stage1_val_RMSE,test_RMSE,stage1_only_test_RMSE
daily,R06,B_rich,AR-LRX [linear],0.0,-0.09276059337090281,0.0,2.65366076393601,2.5460066570468127,2.5460066570468127
daily,R06,B_rich,AR-LRX-g [linear],0.0,-0.09276059337090281,0.0,2.65366076393601,2.5460066570468127,2.5460066570468127
daily,R06,B_rich,AR-LRX-Aug [linear],0.0,-0.09276059337090281,0.0,2.65366076393601,2.5460066570468127,2.5460066570468127
weekly,M01AB,A_lag1,AR-LRX [linear],0.1,-0.12274770637033927,0.1253,7.6326993030743315,8.693414872613127,8.71926959440454
weekly,M01AB,A_lag1,AR-LRX-g [linear],0.0,-0.6212543321804382,0.0,7.6326993030743315,8.71926959440454,8.71926959440454
weekly,M01AB,A_lag1,AR-LRX-Aug [linear],0.0,-0.6212543321804382,0.0,7.6326993030743315,8.71926959440454,8.71926959440454
weekly,M01AB,B_rich,AR-LRX [linear],0.1,-0.16850237914425037,0.0007,7.284330331844225,8.68419763213987,8.671302184129944
weekly,M01AB,B_rich,AR-LRX-g [linear],0.0,-0.15040841951931716,0.0,7.284330331844225,8.671302184129944,8.671302184129944
weekly,M01AB,B_rich,AR-LRX-Aug [linear],0.0,-0.21086451215363144,0.0,7.284330331844225,8.671302184129944,8.671302184129944
weekly,M01AE,A_lag1,AR-LRX [linear],0.2,-0.08530083074647377,0.3266,5.372403989975144,9.2313792948628,9.227510641989534
weekly,M01AE,A_lag1,AR-LRX-g [linear],0.2,-0.08530083074647377,0.3266,5.372403989975144,9.231379295522752,9.227510641989534
weekly,M01AE,A_lag1,AR-LRX-Aug [linear],0.2,-0.08530083074647377,0.3266,5.372403989975144,9.231379295522752,9.227510641989534
weekly,M01AE,B_rich,AR-LRX [linear],0.2,-0.08530083074647377,0.3266,5.372403989975144,9.2313792948628,9.227510641989534
weekly,M01AE,B_rich,AR-LRX-g [linear],0.2,-0.08530083074647377,0.3266,5.372403989975144,9.231379295522752,9.227510641989534
weekly,M01AE,B_rich,AR-LRX-Aug [linear],0.2,-0.08530083074647377,0.3266,5.372403989975144,9.231379295522752,9.227510641989534
weekly,N02BA,A_lag1,AR-LRX [linear],0.0,-1.335266810906731,0.0,7.467469664298522,6.866150201655364,6.866150201655364
weekly,N02BA,A_lag1,AR-LRX-g [linear],0.0,-2.532511965404126,0.0,7.467469664298522,6.866150201655364,6.866150201655364
weekly,N02BA,A_lag1,AR-LRX-Aug [linear],0.0,-2.532511965404126,0.0,7.467469664298522,6.866150201655364,6.866150201655364
weekly,N02BA,B_rich,AR-LRX [linear],0.0,-1.335266810906731,0.0,7.467469664298522,6.866150201655364,6.866150201655364
weekly,N02BA,B_rich,AR-LRX-g [linear],0.0,-2.532511965404126,0.0,7.467469664298522,6.866150201655364,6.866150201655364
weekly,N02BA,B_rich,AR-LRX-Aug [linear],0.0,-2.532511965404126,0.0,7.467469664298522,6.866150201655364,6.866150201655364
weekly,N02BE,A_lag1,AR-LRX [linear],0.1,-0.68296533810699,0.0754,38.72250051105125,51.06309559327808,51.34669565718882
weekly,N02BE,A_lag1,AR-LRX-g [linear],0.0,-1.113080505710768,0.0,38.72250051105125,51.34669565718882,51.34669565718882
weekly,N02BE,A_lag1,AR-LRX-Aug [linear],0.0,-1.113080505710768,0.0,38.72250051105125,51.34669565718882,51.34669565718882
weekly,N02BE,B_rich,AR-LRX [linear],0.1,-0.68296533810699,0.0754,38.72250051105125,51.06309559327808,51.34669565718882
weekly,N02BE,B_rich,AR-LRX-g [linear],0.0,-1.113080505710768,0.0,38.72250051105125,51.34669565718882,51.34669565718882
weekly,N02BE,B_rich,AR-LRX-Aug [linear],0.0,-1.113080505710768,0.0,38.72250051105125,51.34669565718882,51.34669565718882
weekly,N05B,A_lag1,AR-LRX [linear],0.0,-0.2932026096328695,0.0,16.738353378463156,12.970179331908016,12.970179331908016
weekly,N05B,A_lag1,AR-LRX-g [linear],0.0,-0.2932026096328695,0.0,16.738353378463156,12.970179331908016,12.970179331908016
weekly,N05B,A_lag1,AR-LRX-Aug [linear],0.0,-0.2932026096328695,0.0,16.738353378463156,12.970179331908016,12.970179331908016
weekly,N05B,B_rich,AR-LRX [linear],0.0,-0.2932026096328695,0.0,16.738353378463156,12.970179331908016,12.970179331908016
weekly,N05B,B_rich,AR-LRX-g [linear],0.0,-0.2932026096328695,0.0,16.738353378463156,12.970179331908016,12.970179331908016
weekly,N05B,B_rich,AR-LRX-Aug [linear],0.0,-0.2932026096328695,0.0,16.738353378463156,12.970179331908016,12.970179331908016
