granularitas,kategori,set_fitur,pembanding,DM,p,menang,menang sig
daily,R06,B_rich,"LR-XGB (residual, tanpa gerbang)",-0.00575187317124336,0.9954143239242237,True,False
weekly,M01AB,A_lag1,Naive,-2.4275403488172747,0.019361803040835346,True,True
weekly,M01AB,A_lag1,S1 [linear],-0.9405194830609925,0.3520862199066759,True,False
weekly,M01AB,A_lag1,XGBoost,-0.7196947288914493,0.4755186052437117,True,False
weekly,M01AB,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.5995095736577319,0.5519079353456018,True,False
weekly,M01AB,B_rich,Naive,-2.3470689287913524,0.023486566345599647,True,True
weekly,M01AB,B_rich,S1 [linear],0.3338105018714987,0.7401082975506981,False,False
weekly,M01AB,B_rich,XGBoost,-1.2796999571832761,0.2073573799324131,True,False
weekly,M01AB,B_rich,"LR-XGB (residual, tanpa gerbang)",-1.6628912480675027,0.10344256205826174,True,False
weekly,M01AE,A_lag1,Naive,-0.7986300774994434,0.42869990975915195,True,False
weekly,M01AE,A_lag1,S1 [linear],0.09919343205905744,0.9214252615725302,False,False
weekly,M01AE,A_lag1,XGBoost,-2.077656225490884,0.04347646863971,True,True
weekly,M01AE,A_lag1,"LR-XGB (residual, tanpa gerbang)",-1.124271649729918,0.2668593955171348,True,False
weekly,M01AE,B_rich,Naive,-0.7986300774994434,0.42869990975915195,True,False
weekly,M01AE,B_rich,S1 [linear],0.09919343205905744,0.9214252615725302,False,False
weekly,M01AE,B_rich,XGBoost,-2.077656225490884,0.04347646863971,True,True
weekly,M01AE,B_rich,"LR-XGB (residual, tanpa gerbang)",-1.124271649729918,0.2668593955171348,True,False
weekly,N02BA,A_lag1,Naive,1.1736547781455045,0.2467078542407335,False,False
weekly,N02BA,A_lag1,S1 [linear],,,False,False
weekly,N02BA,A_lag1,XGBoost,-1.110427410201225,0.272713304325505,True,False
weekly,N02BA,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.9672942009695054,0.3385671531079528,True,False
weekly,N02BA,B_rich,Naive,1.1736547781455045,0.2467078542407335,False,False
weekly,N02BA,B_rich,S1 [linear],,,False,False
weekly,N02BA,B_rich,XGBoost,-1.110427410201225,0.272713304325505,True,False
weekly,N02BA,B_rich,"LR-XGB (residual, tanpa gerbang)",-0.9672942009695054,0.3385671531079528,True,False
weekly,N02BE,A_lag1,Naive,-0.7953000932783809,0.4306140273347334,True,False
weekly,N02BE,A_lag1,S1 [linear],-1.533678052192868,0.1321101630377206,True,False
weekly,N02BE,A_lag1,XGBoost,1.211291230950056,0.23210663162943201,False,False
weekly,N02BE,A_lag1,"LR-XGB (residual, tanpa gerbang)",0.975734449806448,0.3344124226403258,False,False
weekly,N02BE,B_rich,Naive,-0.7953000932783809,0.4306140273347334,True,False
weekly,N02BE,B_rich,S1 [linear],-1.533678052192868,0.1321101630377206,True,False
weekly,N02BE,B_rich,XGBoost,1.211291230950056,0.23210663162943201,False,False
weekly,N02BE,B_rich,"LR-XGB (residual, tanpa gerbang)",0.975734449806448,0.3344124226403258,False,False
weekly,N05B,A_lag1,Naive,-3.4315670023968923,0.001297057903229426,True,True
weekly,N05B,A_lag1,S1 [linear],,,False,False
weekly,N05B,A_lag1,XGBoost,-0.9551756150120971,0.3445921921680908,True,False
weekly,N05B,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.5001268314633613,0.6194228261571819,True,False
weekly,N05B,B_rich,Naive,-3.4315670023968923,0.001297057903229426,True,True
weekly,N05B,B_rich,S1 [linear],,,False,False
weekly,N05B,B_rich,XGBoost,-0.9551756150120971,0.3445921921680908,True,False
weekly,N05B,B_rich,"LR-XGB (residual, tanpa gerbang)",-0.5001268314633613,0.6194228261571819,True,False
weekly,N05C,A_lag1,Naive,-3.4577608431465774,0.0012201774913398467,True,True
weekly,N05C,A_lag1,S1 [linear],1.0230848962411196,0.31185994088845725,False,False
weekly,N05C,A_lag1,XGBoost,-1.700306367902853,0.09613250743757451,True,False
weekly,N05C,A_lag1,"LR-XGB (residual, tanpa gerbang)",-1.746983394242418,0.0876176965411748,True,False
weekly,N05C,B_rich,Naive,-3.3831331629215673,0.0015147099238985717,True,True
weekly,N05C,B_rich,S1 [linear],0.670370400132393,0.5061252203792472,False,False
weekly,N05C,B_rich,XGBoost,1.32847708771604,0.19086994517879186,False,False
weekly,N05C,B_rich,"LR-XGB (residual, tanpa gerbang)",0.9199703363051962,0.3626046498790225,False,False
weekly,R03,A_lag1,Naive,-0.8047085005164966,0.42521917226047456,True,False
weekly,R03,A_lag1,S1 [linear],,,False,False
weekly,R03,A_lag1,XGBoost,-0.017879682464833086,0.9858138789484927,True,False
weekly,R03,A_lag1,"LR-XGB (residual, tanpa gerbang)",0.3685906233926818,0.7141613372694313,False,False
weekly,R03,B_rich,Naive,-0.8047085005164966,0.42521917226047456,True,False
weekly,R03,B_rich,S1 [linear],,,False,False
weekly,R03,B_rich,XGBoost,-0.017879682464833086,0.9858138789484927,True,False
weekly,R03,B_rich,"LR-XGB (residual, tanpa gerbang)",0.3685906233926818,0.7141613372694313,False,False
weekly,R06,A_lag1,Naive,-0.7629888684260723,0.44945150545185486,True,False
weekly,R06,A_lag1,S1 [linear],,,False,False
weekly,R06,A_lag1,XGBoost,-1.4305404695260513,0.15946959371064517,True,False
weekly,R06,A_lag1,"LR-XGB (residual, tanpa gerbang)",-1.3371567818676469,0.18789176249114803,True,False
weekly,R06,B_rich,Naive,-0.7629888684260723,0.44945150545185486,True,False
weekly,R06,B_rich,S1 [linear],,,False,False
weekly,R06,B_rich,XGBoost,-1.4305404695260513,0.15946959371064517,True,False
weekly,R06,B_rich,"LR-XGB (residual, tanpa gerbang)",-1.3371567818676469,0.18789176249114803,True,False
