model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,orig_MSE,orig_RMSE,orig_MAE,orig_R2,orig_nRMSE,orig_SMAPE,orig_RMSPE,lgbm_subsample_freq
MLP (Diamantini),rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""learning_rate"": 0.001, ""units"": 64}",3,standard,42,0.0439376181183811,0.2096130199161806,0.1413574969247601,0.7542836381744111,0.0238077190781781,1.615316176432562,0.0245603176082204,0.0290069379593732,0.1703142329911779,0.1229285436292308,0.8313214279956093,0.0193532338182823,1.4082213944173962,0.0198276910495445,177.436,1580670.9725536427,1257.2473792192382,855.1921705199651,0.8380461303133249,0.1740186388855682,12.20686636990058,0.1873010578659611,
CNN (Diamantini),rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""learning_rate"": 0.001, ""units"": 256}",3,standard,42,0.0431388614139767,0.207698968254483,0.1454137215311975,0.7587505983737838,0.0235903222567353,1.662695176748237,0.0244581170014093,0.0297319630505942,0.1724295886748973,0.1257103808949957,0.8271053264124018,0.019593606994598,1.4388199257334933,0.0201090757691789,3871.88,1659659.02623051,1288.277542391588,880.5098630784283,0.8299530981933507,0.1783135985322551,12.484785030728483,0.1916234643792396,
RNN (Diamantini),rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""learning_rate"": 0.001, ""units"": 128}",3,standard,42,0.0406165020182687,0.2015353617067454,0.1390691713936696,0.7728566196027926,0.0228902635807254,1.5906041977043226,0.0236933410119803,0.028255108054078,0.1680925579973071,0.1214062696673003,0.8356934025553854,0.019100779311871,1.3905477850522212,0.0195068708366856,888.948,1544387.6974479149,1242.7339608491895,845.2773181654773,0.8417636761595585,0.1720098016813093,12.059204305195754,0.1792554186497494,
LSTM (Diamantini / Qureshi),rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""learning_rate"": 0.001, ""units"": 64}",3,standard,42,0.0424990381028413,0.2061529483243966,0.1441162438463921,0.762328740816549,0.0234147262551153,1.647045461506395,0.0242219104227141,0.0285632443865131,0.1690066400663392,0.1227307644320835,0.8339015554941542,0.0192046487519077,1.405467712477083,0.0196079370320669,5745.998,1571909.6240068325,1253.7581999759093,855.4680584573565,0.8389438087837136,0.1735356931799037,12.191678519411507,0.1794635631991215,
GRU (Qureshi),rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""learning_rate"": 0.001, ""units"": 64}",3,standard,42,0.0429010686377892,0.2071257314719472,0.1430813620892012,0.7600804286726358,0.0235252143722663,1.6350063860030868,0.0242135797010523,0.0293663908582035,0.1713662477216664,0.1243065764774924,0.829231169390497,0.0194727768928795,1.423345970434993,0.0199068176916968,6040.442,1626374.5792754183,1275.2939187792822,867.0548845871165,0.8333633872910554,0.1765165039062006,12.34541156297158,0.1844258876176561,
Transformer (Diamantini),rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""heads"": 4, ""learning_rate"": 0.001, ""units"": 128}",3,standard,42,0.1090407207476699,0.3302131444198882,0.2402306277524405,0.390201600806652,0.0375054077338051,2.734627206963824,0.0389326197525177,0.098230190637669,0.3134169597160771,0.2292364177584919,0.4287805107975239,0.0356143558730914,2.6118681834875157,0.0368298383935053,51449.952,5380272.284569913,2319.5413953128564,1630.5852834381176,0.4487430138314289,0.321053313073312,22.443041666597534,0.4367815197563231,
LightGBM (Zeng),rossmann,V3_sales_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""n_estimators"": 900, ""num_leaves"": 127, ""subsample"": 0.8}",4,none,42,0.03414633272424484,0.18478726342539098,0.12058969220669369,0.8090403393265091,0.020988024783079894,1.3751815587841183,0.021466610366585866,0.01686260531309527,0.12985609463207828,0.09729145395348963,0.9019420737042173,0.014755873998350988,1.1104806421537898,0.014877151041407084,128.652,1020076.045976939,1009.9881415031263,692.4867724273809,0.8954840913199338,0.1397948920633943,9.694290821853551,0.13177632290706323,1.0
XGBoost (grid Zhao),rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 10, ""n_estimators"": 1000, ""subsample"": 0.9}",8,none,42,0.0339750572086291,0.1843232410973426,0.1208334018213427,0.8099981790631445,0.0209353214098037,1.3787226385336802,0.0214204192131659,0.0171268872521993,0.1308697339043652,0.0976507817912812,0.9004052448201391,0.0148710563733024,1.1151490594312443,0.0149931099690503,334.901,1028741.6671247516,1014.2690309403868,692.1449626770868,0.8945962209772149,0.1403874202844945,9.728792457211988,0.1323106330275135,
