granularitas,kategori,set_fitur,AR-LRX-g,AR-LRX-Aug,efek Aug (%)
daily,M01AB,A_lag1,2.9643466131646554,2.9116383332171325,-1.7780741197215462
daily,M01AB,B_rich,2.9643466131646554,2.9116383332171325,-1.7780741197215462
daily,M01AE,A_lag1,2.3219794501436657,2.322396632638096,0.017966674700955428
daily,M01AE,B_rich,2.2024886657509155,2.1974832829793485,-0.227260319174469
daily,N02BA,A_lag1,2.151589426734906,2.155381881254455,0.17626292788136885
daily,N02BA,B_rich,2.151589426734906,2.155381881254455,0.17626292788136885
daily,N02BE,A_lag1,14.339539223691217,14.361254574390518,0.151436879250791
daily,N02BE,B_rich,14.339539223691217,14.361254574390518,0.151436879250791
daily,N05B,A_lag1,4.433803006130751,4.433803006130751,0.0
daily,N05B,B_rich,4.433803006130751,4.433803006130751,0.0
daily,N05C,A_lag1,1.1452202613500821,1.1452202613500821,0.0
daily,N05C,B_rich,1.1470744573505267,1.1484862402839446,0.12307683467024577
daily,R03,A_lag1,8.347011514342919,8.288019092628089,-0.7067490156622124
daily,R03,B_rich,8.347011514342919,8.288019092628089,-0.7067490156622124
daily,R06,A_lag1,2.5460066570468127,2.5451843906428704,-0.03229631790892922
daily,R06,B_rich,2.5460066570468127,2.5451843906428704,-0.03229631790892922
weekly,M01AB,A_lag1,8.71926959440454,8.71926959440454,0.0
weekly,M01AB,B_rich,8.671302184129944,8.586072835120413,-0.9828898497565427
weekly,M01AE,A_lag1,9.198412376012447,9.18965588589256,-0.09519566814293827
weekly,M01AE,B_rich,9.198412376012447,9.18965588589256,-0.09519566814293827
weekly,N02BA,A_lag1,6.849661866912164,6.866150201655364,0.24071749910529625
weekly,N02BA,B_rich,6.849661866912164,6.866150201655364,0.24071749910529625
weekly,N02BE,A_lag1,51.34669565718882,51.1099685930153,-0.4610366083807996
weekly,N02BE,B_rich,51.34669565718882,51.1099685930153,-0.4610366083807996
weekly,N05B,A_lag1,12.970179331908016,12.970179331908016,0.0
weekly,N05B,B_rich,12.970179331908016,12.970179331908016,0.0
weekly,N05C,A_lag1,2.95509794238098,2.95509794238098,0.0
weekly,N05C,B_rich,3.0728184911669745,3.366819785959491,9.567805441084237
weekly,R03,A_lag1,26.71174291434975,26.579587557318444,-0.49474628988103253
weekly,R03,B_rich,26.71174291434975,26.579587557318444,-0.49474628988103253
weekly,R06,A_lag1,8.927137273402836,8.927137273402836,0.0
weekly,R06,B_rich,8.927137273402836,8.927137273402836,0.0
