model,naskah lama,protokol adil,perubahan (%)
LightGBM (Zeng),1706.33,1015.7271073412617,-40.47299717280586
GRU (Qureshi),1266.04,1398.1191960969109,10.432466280442238
XGBoost (grid Zhao),913.09,1014.2690309403869,11.080948311818862
RNN (Diamantini),1044.78,1424.5733136588303,36.351510716019675
LSTM (Diamantini / Qureshi),1150.89,1757.6088808824659,52.717364898684124
*** Metode usulan ***,577.63,945.4212919564136,63.67247060513021
MLP (Diamantini),825.32,1764.3187995989388,113.77390583033716
CNN (Diamantini),775.28,1970.2585559982672,154.13509390133464
Transformer (Diamantini),881.28,2738.563876668001,210.7484427954794
