variant,stage1,n_folds,n_train,n_val,rms_resid_in_sample,rms_resid_cross_fitted,rms_resid_validation,leak_pct
V3_sales_lagged,linear,5,589839,119588,0.2563775722801791,0.2579713337619621,0.25108105376097983,0.6216462179621746
V3_sales_lagged,structural,5,589839,119588,0.1547401784500404,0.16338711791039584,0.2021597443509143,5.588037668670003
V3_sales_lagged,struct_linear,5,589839,119588,0.1531888079382585,0.16276659466435572,0.19865751108888538,6.252275773278074
