model,exp06 (lemah),exp06b (kuat),perbaikan (%),val_R2 lama,val_R2 baru
CNN (Diamantini),1970.2585559982672,1288.277542391588,-34.61378261906043,0.6231265669050903,0.7587505983737838
MLP (Diamantini),1764.3187995989388,1257.2473792192382,-28.74035126162953,0.717695313024878,0.7542836381744111
LSTM (Diamantini / Qureshi),1757.608880882466,1253.7581999759093,-28.666826071883627,0.4685333864946283,0.762328740816549
Transformer (Diamantini),2738.563876668001,2319.5413953128564,-15.300810944200702,0.152703379604551,0.390201600806652
RNN (Diamantini),1424.5733136588303,1242.7339608491895,-12.764478392664131,0.7162360731809689,0.7728566196027926
GRU (Qureshi),1398.1191960969109,1275.2939187792822,-8.785036187223268,0.6963666384941511,0.7600804286726358
LightGBM (Zeng),1015.7271073412616,1015.7271073412617,1.1192655674928228e-14,0.8079673027562777,0.8079673027562777
XGBoost (grid Zhao),1014.2690309403868,1014.2690309403869,1.120874583109478e-14,0.8099981790631445,0.8099981790631445
